context,metric,historical,new_seed123,delta
HCC38,endpoint_alignment_spearman,0.2161255818890467,0.6681506753102793,0.45202509342123254
HCC38,directional_recovery_median_signed_cosine,0.1057210207498264,0.1717857903548792,0.06606476960505281
HCC38,anchor_separation_auc,0.4285714285714285,1.0,0.5714285714285715
HCC38,target_identity_spearman,0.0573004959352234,-0.0337178289501308,-0.09101832488535419
HCC38,excess_homogenization_uncentered,0.2697795729005138,0.5794300326617218,0.309650459761208
HCC38,excess_homogenization_centered,0.1601131366930886,-0.037724250523937665,-0.19783738721702626
HCC38,conventional_pearson_median,0.0862716831780003,0.1679523654017835,0.08168068222378319
HCC38,conventional_normalized_rmse_median,24.147855827569845,19.226815614119637,-4.921040213450208
HCC1143,endpoint_alignment_spearman,0.044177171568692,0.48803053408345604,0.44385336251476404
HCC1143,directional_recovery_median_signed_cosine,0.0804959981737143,0.1384657840067752,0.057969785833060894
HCC1143,anchor_separation_auc,0.6666666666666666,0.8125,0.14583333333333337
HCC1143,target_identity_spearman,0.0317567825596778,-0.002850283344058362,-0.03460706590373616
HCC1143,excess_homogenization_uncentered,0.2484398312351196,0.5060306338122138,0.2575908025770942
HCC1143,excess_homogenization_centered,0.1336680977135698,-0.04215514836593051,-0.1758232460795003
HCC1143,conventional_pearson_median,0.0579603054462951,0.11889649748181493,0.06093619203551982
HCC1143,conventional_normalized_rmse_median,24.458114884630767,15.79724637743221,-8.660868507198558
