context,depth,metric,n_excluded,n_retained,excluded_mean,excluded_median,excluded_min,excluded_max,retained_mean,retained_median,retained_min,retained_max,mean_difference,median_difference,rank_superiority,fraction_excluded_above_retained_median,every_excluded_above_every_retained
HCC38,20,raw_shift,0,47,NA,NA,NA,NA,0.0063477955734049605,0.005355838101385,0.0039010408237359,0.0144798741040019,NA,NA,NA,NA,NA
HCC38,20,depmap_gene_dependency,0,47,NA,NA,NA,NA,0.22912978190024164,0.0573416619307745,0.0018330352467763,1.0,NA,NA,NA,NA,NA
HCC38,20,noise_corrected_shift,0,47,NA,NA,NA,NA,0.0009403012462943436,0.0003845878513856,-0.0001588297680574,0.0046119790678145,NA,NA,NA,NA,NA
HCC38,20,equal_n_20_expected_shift,0,47,NA,NA,NA,NA,0.016400873155678872,0.0161164751986796,0.0154375408001065,0.0187305108965319,NA,NA,NA,NA,NA
HCC38,25,raw_shift,0,47,NA,NA,NA,NA,0.0063477955734049605,0.005355838101385,0.0039010408237359,0.0144798741040019,NA,NA,NA,NA,NA
HCC38,25,depmap_gene_dependency,0,47,NA,NA,NA,NA,0.22912978190024164,0.0573416619307745,0.0018330352467763,1.0,NA,NA,NA,NA,NA
HCC38,25,noise_corrected_shift,0,47,NA,NA,NA,NA,0.0009403012462943436,0.0003845878513856,-0.0001588297680574,0.0046119790678145,NA,NA,NA,NA,NA
HCC38,25,equal_n_20_expected_shift,0,47,NA,NA,NA,NA,0.016400873155678872,0.0161164751986796,0.0154375408001065,0.0187305108965319,NA,NA,NA,NA,NA
HCC38,50,raw_shift,1,46,0.0144798741040019,0.0144798741040019,0.0144798741040019,0.0144798741040019,0.006171011257522417,0.0053274837891563506,0.0039010408237359,0.0113723052385142,0.008308862846479482,0.009152390314845549,1.0,1.0,True
HCC38,50,depmap_gene_dependency,1,46,0.9972796156547944,0.9972796156547944,0.9972796156547944,0.9972796156547944,0.2124308724707948,0.051645174968135504,0.0018330352467763,1.0,0.7848487431839996,0.9456344406866589,0.9347826086956522,1.0,False
HCC38,50,noise_corrected_shift,1,46,0.0002308870003735,0.0002308870003735,0.0002308870003735,0.0002308870003735,0.00095572329511871,0.00038636806996519997,-0.0001588297680574,0.0046119790678145,-0.00072483629474521,-0.00015548106959169998,0.3695652173913043,0.0,False
HCC38,50,equal_n_20_expected_shift,1,46,0.0160597010220824,0.0160597010220824,0.0160597010220824,0.0160597010220824,0.01640828994119184,0.01612298990266255,0.0154375408001065,0.0187305108965319,-0.00034858891910943823,-6.328888058014862e-05,0.43478260869565216,0.0,False
HCC38,100,raw_shift,7,40,0.010350300492914615,0.0096911866022176,0.0082501146934477,0.0144798741040019,0.00564735721249077,0.00505622137004705,0.0039010408237359,0.0106435490794122,0.004702943280423845,0.00463496523217055,0.9571428571428572,1.0,False
HCC38,100,depmap_gene_dependency,7,40,0.8769137673878825,0.978029448287533,0.4895161201697765,1.0,0.11576758443990447,0.0348841255568889,0.0018330352467763,1.0,0.7611461829479781,0.9431453227306441,0.9732142857142857,1.0,False
