dataset_id	context	cell_line	evidence_layer	claim_role	source_path	source_sha256	n_targets_total	n_targets_matched_depmap	dependency_strength_variable	shift_metric	spearman_rho	spearman_permutation_pvalue	spearman_bootstrap_ci_low	spearman_bootstrap_ci_high	pearson_r	pearson_permutation_pvalue	pearson_bootstrap_ci_low	pearson_bootstrap_ci_high	n_permutations	n_bootstrap	status	supported_claim	panel	manuscript_layer_label	resource_role	not_used_to_claim	endpoint_category	n_targets	median_shift_quantile	median_dependency_quantile	targets	n_targets_context	fraction_targets	claim_boundary	boundary	evidence	interpretation
gse241115_hcc38_hcc1143	HCC38 day 14	HCC38	primary_model_audit	primary endpoint-recovery context	data/processed/truth_driven_bridge/HCC38/target_level_bridge_table.tsv.gz	5c35dcffdc5d2a58d8144cb5e1089972ee2297898c9a3ff2049ae2b1a8798d0d	48.0	47.0	depmap_gene_dependency	real_shift_mean_abs	0.7257957275155708	0.0009990009990009	0.5562942073993075	0.8355070632318312	0.7367887203519039	0.0009990009990009	0.5452341809275911	0.8611994454275559	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
gse241115_hcc38_hcc1143	HCC1143 day 14	HCC1143	primary_model_audit	primary endpoint-recovery context	data/processed/truth_driven_bridge/HCC1143/target_level_bridge_table.tsv.gz	e58e1ee2129ab6dcfdc54a3fb8d6eb352411d119682c5f80e643f8444540554c	49.0	48.0	depmap_gene_dependency	real_shift_mean_abs	0.7792497165337711	0.0009990009990009	0.6146649965329112	0.8802489330734145	0.7610164660837119	0.0009990009990009	0.6569918060321749	0.892196242887423	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
gse90063_dixit_k562_temporal	K562 TF day 7	K562	external_bridge_form_boundary	temporal-boundary evidence	data/processed/truth_driven_bridge_gse90063_7d/combined_target_level_bridge_table.tsv.gz	dcb908cc880c14dbeee2c4b1e10c459d9e651a07f882f0c06360a891c0410594	10.0	10.0	depmap_gene_dependency	real_shift_mean_abs	0.7333333333333332	0.0279720279720279	0.1949685534591195	0.95	0.9337120034554252	0.0059940059940059	0.3352753453772486	0.9881196558333286	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
gse90063_dixit_k562_temporal	K562 TF day 13	K562	external_bridge_form_boundary	temporal-boundary evidence	data/processed/truth_driven_bridge_gse90063_13d/combined_target_level_bridge_table.tsv.gz	062f58cb2b4c6f2337efdc9007e3684c259fbd0f1f7b9ff49beb7ea22baa57ec	10.0	10.0	depmap_gene_dependency	real_shift_mean_abs	0.5151515151515151	0.1488511488511488	-0.1853568800588667	0.8580645161290322	0.6311478743743133	0.0709290709290709	-0.0976154590358546	0.9044873671634356	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
replogle_k562_essential_day6	K562 essential CRISPRi day 6	K562	external_bridge_form_boundary	large-scale CRISPRi bridge-form evidence	data/processed/truth_driven_bridge_replogle_k562_essential_day7/combined_target_level_bridge_table.tsv.gz	3fb96fb05ed2ae967506c2bef7a5d8613281ad37f694a55ff28439fbc1fd6206	2021.0	1882.0	depmap_gene_dependency	real_shift_mean_abs	0.4018413096087801	0.0009990009990009	0.3615927482184992	0.4403946139040008	0.3513256001284778	0.0009990009990009	0.3233942104801001	0.3829259410264343	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
replogle_k562_gwps_day8	K562 genome-scale CRISPRi day 8	K562	external_bridge_form_boundary	large-scale CRISPRi scale-boundary evidence	data/processed/truth_driven_bridge_replogle_k562_gwps_day8/combined_target_level_bridge_table.tsv.gz	e2c2bd014bdbf59f19d54d7378d6b9b8e9329cc3a17e09c532e40c82aa75fea6	9787.0	9261.0	depmap_gene_dependency	real_shift_mean_abs	0.2516792653082492	0.0009990009990009	0.2315777608303988	0.2720596216471849	0.4115592316861918	0.0009990009990009	0.3908670454348474	0.4326776654817412	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
gse264667_hepg2_day7	HepG2 day 7	HepG2	candidate_secondary_endpoint_extension	secondary cancer-line endpoint-extension evidence	reports/gse264667_endpoint_extension/gse264667_hepg2_day7/target_level_bridge_table.tsv.gz	214e9bfb68666fa055a37309893879300dc072e37d511876a4b268da7bac75fd	1061.0	1000.0	depmap_gene_dependency	real_shift_mean_abs	0.4928629353883227	0.0009990009990009	0.4390555020064388	0.5392432586704033	0.4308609340689929	0.0009990009990009	0.3924074676281359	0.4688887963781831	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
gse264667_jurkat_day7	Jurkat day 7	Jurkat	candidate_secondary_endpoint_extension	secondary lineage-boundary endpoint-extension evidence	reports/gse264667_endpoint_extension/gse264667_jurkat_day7/target_level_bridge_table.tsv.gz	938d5cc86d216798db7a367541a819ba21ef5f3f91886bdee16c5c6b91e6e734	1815.0	1687.0	depmap_gene_dependency	real_shift_mean_abs	0.31097786434046	0.0009990009990009	0.268546339783433	0.3566341067728488	0.2882036435940438	0.0009990009990009	0.2492065577386382	0.3284023506845138	1000.0	1000.0	estimated	bridge-form detectability or boundary evidence; not model generalization	a														
	Frangieh melanoma/TIL Perturb-CITE-seq																					governance and scope definition	b	Excluded / future-extension registry	excluded/future module	requires a separate endpoint module before inclusion											
	Gasperini K562 enhancer CRISPRi																					governance and scope definition	b	Excluded / future-extension registry	excluded/future module	requires a separate endpoint module before inclusion											
