cell_line	strat_column	n_targets	n_strata	mean_tvd	median_tvd	n_targets_tvd_gt_0.15	n_targets_tvd_gt_0.25	report_path
HCC1143	barcode_gem_group	50	3	0.0553688001480439	0.04943644796777	0	0	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC1143_barcode_gem_group_target_control_balance.tsv
HCC1143	num_umis_over_threshold_bin	50	4	0.1038378228257645	0.0822786816030881	9	3	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC1143_num_umis_over_threshold_bin_target_control_balance.tsv
HCC1143	num_umis_quantile_bin	50	4	0.1331656892393771	0.1270131410936646	18	2	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC1143_num_umis_quantile_bin_target_control_balance.tsv
HCC1143	transcriptome_detected_genes_quantile_bin	50	4	0.0763635715127252	0.0643932036186256	6	1	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC1143_transcriptome_detected_genes_quantile_bin_target_control_balance.tsv
HCC1143	transcriptome_total_signal_quantile_bin	50	4	0.0779806104417702	0.0632640516191688	5	0	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC1143_transcriptome_total_signal_quantile_bin_target_control_balance.tsv
HCC38	barcode_gem_group	50	3	0.0529180609984402	0.0422997207243601	3	2	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC38_barcode_gem_group_target_control_balance.tsv
HCC38	num_umis_over_threshold_bin	50	4	0.0926564213166551	0.0575314999730691	6	3	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC38_num_umis_over_threshold_bin_target_control_balance.tsv
HCC38	num_umis_quantile_bin	50	4	0.1087842315983835	0.0743581581316291	9	6	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC38_num_umis_quantile_bin_target_control_balance.tsv
HCC38	transcriptome_detected_genes_quantile_bin	50	4	0.0576238872498433	0.0448482811520195	1	0	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC38_transcriptome_detected_genes_quantile_bin_target_control_balance.tsv
HCC38	transcriptome_total_signal_quantile_bin	50	4	0.0706879015433831	0.0504229109277646	3	2	/home/data/gz0705/WTKO/reports/stage2_truth_driven_bridge/sensitivity/covariate_balance/HCC38_transcriptome_total_signal_quantile_bin_target_control_balance.tsv
