cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	dataset_role	control_target_prefix	single_perturbation_filter_status	single_perturbation_evidence_source	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_shift_top50_concentration	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	shift_value	depmap_value_raw	depmap_strength	shift_quantile	depmap_quantile	shift_band	depmap_band	joint_grid	grid_role	is_q1_anchor	is_q2_transcriptomic_excess	is_q3_dependency_excess	is_q4_low_information	n_targets	spearman_rho_aligned
HCC38	ACH-000276	ARID1A	365	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.5521106820450274	0.0085365617536346	0.41084663373779	0.31870914363923	0.256314648404856	0.0510021624423772	0.6844363647374117	35	-0.1959555409927433	0.0939245801107399	True	True	both	0.0085365617536346	0.0939245801107399	0.0939245801107399	0.8085106382978723	0.6382978723404256	high	middle	middle	middle_band	False	False	False	False	47	0.7257957275155708
HCC38	ACH-000276	BMPR1A	212	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.4112086854129164	0.0056197913890013	0.1607056301105885	0.1198906234823434	0.0986097664209315	0.0291435248290485	0.1313814779242541	3	-0.3519701364399601	0.2329854350238944	True	True	both	0.0056197913890013	0.2329854350238944	0.2329854350238944	0.574468085106383	0.723404255319149	middle	middle	middle	middle_band	False	False	False	False	47	0.7257957275155708
HCC38	ACH-000276	CDKN2A	399	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.6153802596872924	0.0040551040534158	0.0705642285462587	0.0630156452727782	0.0564257139208651	0.0212287018833288	0.0529303840921642	0	0.2816188048418129	0.0034117871973033	True	True	both	0.0040551040534158	0.0034117871973033	0.0034117871973033	0.0851063829787234	0.0425531914893617	low	low	Q4_low_information	low_information_background	False	False	False	True	47	0.7257957275155708
HCC38	ACH-000276	COMMD6	395	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.715292039582324	0.0042202270388882	0.0912586486445996	0.0746733752831189	0.064967658368902	0.0241716902111654	0.0628530619862886	0	0.1473822164133259	0.0087958879569685	True	True	both	0.0042202270388882	0.0087958879569685	0.0087958879569685	0.1489361702127659	0.1489361702127659	low	low	Q4_low_information	low_information_background	False	False	False	True	47	0.7257957275155708
HCC38	ACH-000276	ENY2	93	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.544919712264169	0.0103397858020701	0.2917423714764887	0.2362799890211731	0.2003900068514441	0.0312170926316909	0.4591876502228338	14	-0.5509808712071267	0.4895161201697765	True	True	both	0.0103397858020701	0.4895161201697765	0.4895161201697765	0.9361702127659576	0.8297872340425532	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False	47	0.7257957275155708
HCC38	ACH-000276	ERC1	433	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.7068626495623005	0.00417172244801	0.0939941271692788	0.0759905199899519	0.0646887614733722	0.0248840498741996	0.0660008981986344	0	0.2188525570329813	0.0054295617631019	True	True	both	0.00417172244801	0.0054295617631019	0.0054295617631019	0.1276595744680851	0.0851063829787234	low	low	Q4_low_information	low_information_background	False	False	False	True	47	0.7257957275155708
HCC38	ACH-000276	ETV3	244	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.131250251028423	0.0051298888376656	0.1202520673834786	0.0976057317693104	0.0835667705967653	0.025992282627765	0.1174565194971322	0	-0.1735948251121793	0.0807914252803547	True	True	both	0.0051298888376656	0.0807914252803547	0.0807914252803547	0.4680851063829787	0.5531914893617021	middle	middle	middle	middle_band	False	False	False	False	47	0.7257957275155708
HCC38	ACH-000276	GON4L	167	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.438389539750892	0.0060144581054616	0.1312072613898295	0.1040296560141868	0.0898378970438039	0.0236285848281612	0.1331370425297109	1	-0.4178073081616394	0.3129469325001975	True	True	both	0.0060144581054616	0.3129469325001975	0.3129469325001975	0.6382978723404256	0.7872340425531915	middle	high	middle	middle_band	False	False	False	False	47	0.7257957275155708
HCC38	ACH-000276	HDGF	254	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.310398267970584	0.0053940020400889	0.1533492306088471	0.1178306675327504	0.0978328739693608	0.0298417497987878	0.1102646874948405	1	-0.0275129839181656	0.0286996254177853	True	True	both	0.0053940020400889	0.0286996254177853	0.0286996254177853	0.5319148936170213	0.4042553191489361	middle	middle	middle	middle_band	False	False	False	False	47	0.7257957275155708
HCC38	ACH-000276	HLX	289	1666	3	14485	36601	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.2837459862813443	0.0052991294769277	0.1528302155414405	0.1231100955963321	0.100538112853386	0.0317370232967542	0.1391844016536794	0	0.1969791502719058	0.006315463793662	True	True	both	0.0052991294769277	0.006315463793662	0.006315463793662	0.4893617021276595	0.1063829787234042	middle	low	middle	middle_band	False	False	False	False	47	0.7257957275155708
