artifact_role	path	size_bytes	sha256
model_endpoint_recovery_interpretation	reports/model_endpoint_recovery/model_endpoint_recovery_interpretation.md	10739	6186b06159c400f27fc7204b1d5365bf05e5426365d16ce2799a5ef49839f475
model_summary	reports/model_endpoint_recovery/model_summary.tsv	20061	405c11d21c57b50290b592eddd5d3d28ee41ae0ee91e9a639a4df488b4311e17
target_summary	reports/model_endpoint_recovery/target_summary.tsv	662449	4fe0d73c1db84b3486c23cb0df5f0359650f13dbcf9bb3ae016d8d44ec56ce05
axis_projection	reports/model_endpoint_recovery/axis_projection.tsv	7736881	ac13033dcede572f49b82f93e10c2bc5de2838bd4e4d2a1bee819cc9b53742c7
category_summary	reports/model_endpoint_recovery/category_summary.tsv	21607	bd1893bd8becb4dd45c463b0079735604d0de073f444b02060805121c3abce0a
endpoint_thresholds	reports/model_endpoint_recovery/endpoint_thresholds.tsv	245	449f9741b1ab0a72ea2694e54d0410f7ec9fa4ce6b08a6e7a19e516d931bf680
target_identity_summary	reports/model_endpoint_recovery/target_identity_summary.tsv	6279	a57745c7b5894d069683d6e9800ae3879c8f738589835270f2a1d694c80848e5
common_response_quadrant	reports/model_endpoint_recovery/common_response_quadrant.tsv	5239	df883c1a4581d3e22f438101fd5404d3716b5c7f47608a22d0d56df4dc581c5e
residual_endpoint_recovery	reports/model_endpoint_recovery/residual_endpoint_recovery.tsv	8396	2e17c033b9adf12aa00820965e52f2b70deb7db723f5475101d177f57a55d15c
gears_selection_registry	reports/model_endpoint_recovery/gears_selection_registry.tsv	1076	289213fcd81d80d0b06c6754c5ce871c4f5096455a598cc3d98990efd450697d
total_shift_vs_depmap_small_multiples	reports/model_endpoint_recovery/figures/total_shift_vs_depmap_small_multiples.png	296232	073c8af1cdac1e0aee577fa1aae4542dec343b0a8e5dd62f3ddeba91d649f0d3
axis_aligned_shift_vs_depmap_small_multiples	reports/model_endpoint_recovery/figures/axis_aligned_shift_vs_depmap_small_multiples.png	331881	3086e57237187187eeef7ca189e5a16871f7c81a77858df101ca6666fa7c9a1e
common_response_quadrant	reports/model_endpoint_recovery/figures/common_response_quadrant.png	156149	f4fe24e2f75727e952820ac3ea6484d930e147d5aead97a0782bde476bcd8084
target_identity_preservation	reports/model_endpoint_recovery/figures/target_identity_preservation.png	121182	514f019290588c10b617049a306e98fb80bfffd7db39aaa097b78cdf78e06874
endpoint_recovery_figure_source_data	reports/model_endpoint_recovery/figures/endpoint_recovery_figure_source_data.tsv	652903	906b085b5a4ffdc4586f8237556f255743e996a1985b83f73f4aa0c2e68ae2ed
model_recovery_figure_source_data	reports/model_endpoint_recovery/figures/model_recovery_figure_source_data.tsv	19615	29bc1d020aa670888dfbf53346b246798549e19784199247363cefa4329a270b
model_endpoint_recovery_metrics	reports/model_endpoint_recovery/source_data/model_endpoint_recovery_metrics.tsv	20061	405c11d21c57b50290b592eddd5d3d28ee41ae0ee91e9a639a4df488b4311e17
model_endpoint_recovery_pq_values	reports/model_endpoint_recovery/source_data/model_endpoint_recovery_pq_values.tsv	1313	3eb985ac6464963621a7b698f74558d78ef9d3fda672aa7b16b90ba6d6800036
model_endpoint_category_summary	reports/model_endpoint_recovery/source_data/model_endpoint_category_summary.tsv	21607	bd1893bd8becb4dd45c463b0079735604d0de073f444b02060805121c3abce0a
model_common_response_metrics	reports/model_endpoint_recovery/source_data/model_common_response_metrics.tsv	5239	df883c1a4581d3e22f438101fd5404d3716b5c7f47608a22d0d56df4dc581c5e
model_target_identity_preservation	reports/model_endpoint_recovery/source_data/model_target_identity_preservation.tsv	6279	a57745c7b5894d069683d6e9800ae3879c8f738589835270f2a1d694c80848e5
model_registry	reports/model_endpoint_recovery/source_data/model_registry.tsv	1076	289213fcd81d80d0b06c6754c5ce871c4f5096455a598cc3d98990efd450697d
figure_panel_source_manifest	reports/model_endpoint_recovery/source_data/figure_panel_source_manifest.tsv	3688	2df031fb4cf98c89fe2edde5e3c08ca0420827f49ed88ab4c499c9e8f27845aa
figure3	reports/model_endpoint_recovery/../manuscript_figures_v2/fig3_model_endpoint_recovery/figure3.png	3689038	8b2ae6fa415933c561b667bbfc7a887370c80a9657baa8c105d038b5e28b0302
figure3	reports/model_endpoint_recovery/../manuscript_figures_v2/fig3_model_endpoint_recovery/figure3.pdf	77678	306cd80931903ce8513aa14746a81721bcd4562f46219aa0a2580d72f6226dbd
figure3_source_data	reports/model_endpoint_recovery/../manuscript_figures_v2/fig3_model_endpoint_recovery/figure3_source_data.tsv	345988	46ae2163bd5abca211a60d7ec626e291bcd37d5dddf439c202299b8e894cebcc
edfigure6	reports/model_endpoint_recovery/../manuscript_figures_v2/edfig6_model_endpoint_recovery/edfigure6.png	2967252	f357a9ed9872dacfc695a3bc2abae0fd1f975bfc70ae022fce6f67e7ea01c760
edfigure6	reports/model_endpoint_recovery/../manuscript_figures_v2/edfig6_model_endpoint_recovery/edfigure6.pdf	218395	a6e8c31cba3323f91917b67ae0bc32f489aeb4e26daa0b261cdaca6195cf1bb7
edfigure6_source_data	reports/model_endpoint_recovery/../manuscript_figures_v2/edfig6_model_endpoint_recovery/edfigure6_source_data.tsv	31511	cdf5e2ee91d4327d3ecb5644ba934223d6ccdf69297a258eb0b7f414219d7367
