step_name	model_id	command	dry_run	started_utc	returncode	status
cellot_hcc38_stage_train_export	cellot_hcc_formal_v1	pixi run prepare-cellot-hcc38-full	False	2026-05-19T05:40:52.956439+00:00	0	completed
cellot_hcc38_stage_train_export	cellot_hcc_formal_v1	pixi run --environment cellot python scripts/models/cellot/run_cellot_hcc_staged.py --cell-line HCC38	False	2026-05-19T05:40:57.673093+00:00	0	completed
cellot_hcc38_stage_train_export	cellot_hcc_formal_v1	pixi run --environment cellot python scripts/models/cellot/export_cellot_hcc_predicted_shift.py --cell-line HCC38	False	2026-05-19T05:40:58.228730+00:00	0	completed
cellot_hcc1143_stage_train_export	cellot_hcc_formal_v1	pixi run prepare-cellot-hcc1143-full	False	2026-05-19T05:41:07.560215+00:00	0	completed
cellot_hcc1143_stage_train_export	cellot_hcc_formal_v1	pixi run --environment cellot python scripts/models/cellot/run_cellot_hcc_staged.py --cell-line HCC1143	False	2026-05-19T05:41:11.363291+00:00	0	completed
cellot_hcc1143_stage_train_export	cellot_hcc_formal_v1	pixi run --environment cellot python scripts/models/cellot/export_cellot_hcc_predicted_shift.py --cell-line HCC1143	False	2026-05-19T07:42:20.186315+00:00	0	completed
cellot_export_contract_audit	cellot_hcc_formal_v1	pixi run export-cellot-hcc38-full	False	2026-05-19T07:42:29.532869+00:00	0	completed
cellot_export_contract_audit	cellot_hcc_formal_v1	pixi run export-cellot-hcc1143-full	False	2026-05-19T07:42:31.467642+00:00	0	completed
cellot_export_contract_audit	cellot_hcc_formal_v1	pixi run audit-hcc-model-after-run --model-id cellot_hcc_formal_v1	False	2026-05-19T07:42:32.452494+00:00	0	completed
cellot_export_contract_audit	cellot_hcc_formal_v1	pixi run python scripts/pipeline/hash_hcc_model_artifacts.py --model-id cellot_hcc_formal_v1	False	2026-05-19T07:42:38.127686+00:00	0	completed
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06_generate	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	pixi run --environment gears python scripts/pipeline/gears_hcc_predictions.py --config configs/generated/gears_hcc_backbone_sweep_v1/e20_lr1e-03_wd1e-06.json	False	2026-05-19T07:42:38.662665+00:00	0	completed
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06_generate	gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	pixi run python scripts/pipeline/hcc_prediction_export.py --cell-line HCC38 --model-id gears_hcc_formal_v1_e20_lr1e-03_wd1e-06 --model-version v1 --object-role entrant --input-prediction-path data/predictions/gears_raw/gears_hcc_formal_v1_e20_lr1e-03_wd1e-06/HCC38/predicted_shift.tsv.gz --source-kind gears_generated_shift	False	2026-05-19T08:13:53.439237+00:00	0	completed
