fine_axis	macro_axis	n_tier1_2_genes	tier1_2_genes	tier1_n	tier2_n	total_in_axis	priority_rank
transcription regulation	gene expression machinery	4	MYBL1; VEZF1; ZBTB17; ZNF131	2	2	18	1
transcription / chromatin	gene expression machinery	2	ENY2; TADA3	2	0	2	2
ribosome biogenesis / nucleolar	ribosome / nucleolar biogenesis	1	NPM1	1	0	1	3
chromatin remodeling	gene expression machinery	1	ARID1A	1	0	2	4
mTOR / lysosome / signaling	signaling / growth control	1	LAMTOR5	0	1	1	5
RNA processing / spliceosome	RNA processing	1	PRPF6	1	0	1	6
peroxisome / metabolism	metabolism	0		0	0	1	7
ribosomal / translation	ribosome / nucleolar biogenesis	0		0	0	1	8
cytoskeleton / cell motility	cell-state regulation	0		0	0	1	9
nuclear receptor / co-activator	gene expression machinery	0		0	0	1	10
NF-κB / copper signaling	signaling / growth control	0		0	0	1	11
oxidative stress / antioxidant	stress response	0		0	0	1	12
metabolism / transcription	metabolism	0		0	0	1	13
ER stress / UPR	stress response	0		0	0	1	14
growth factor / proliferation	signaling / growth control	0		0	0	1	15
oxidative stress / mitochondrial	stress response	0		0	0	1	16
synaptic / signaling	signaling / growth control	0		0	0	1	17
JAK-STAT signaling	signaling / growth control	0		0	0	1	18
signaling / oncogene	signaling / growth control	0		0	0	1	19
nuclear receptor / metabolism	signaling / growth control	0		0	0	2	20
TGF-beta / BMP signaling	signaling / growth control	0		0	0	2	21
growth / proliferation	signaling / growth control	0		0	0	1	22
NF-κB / MAPK signaling	signaling / growth control	0		0	0	1	23
proteostasis / chaperone	proteostasis	0		0	0	1	24
cell cycle / replication	cell-state regulation	0		0	0	1	25
RNA processing / transcription	RNA processing	0		0	0	1	26
