cell_line	context_role	entrant_id	entrant_kind	reference_type	reference_seed	full_endpoint_n_targets	contract_n_targets	endpoint_coverage_fraction	missing_endpoint_targets	contract_n_genes	endpoint_alignment_spearman	endpoint_alignment_ci_low	endpoint_alignment_ci_high	endpoint_alignment_status	endpoint_alignment_n	directional_recovery_median_signed_cosine	directional_recovery_ci_low	directional_recovery_ci_high	directional_recovery_n	anchor_separation_auc	anchor_separation_ci_low	anchor_separation_ci_high	anchor_n	low_information_n	target_identity_spearman	target_identity_label_permutation_pvalue	target_identity_status	target_identity_n_targets	target_identity_n_pairs	predicted_homogenization_uncentered	observed_homogenization_uncentered	excess_homogenization_uncentered	predicted_homogenization_uncentered_n	observed_homogenization_uncentered_n	predicted_homogenization_centered	observed_homogenization_centered	excess_homogenization_centered	predicted_homogenization_centered_n	observed_homogenization_centered_n	conventional_pearson_median	conventional_pearson_ci_low	conventional_pearson_ci_high	conventional_pearson_n	conventional_normalized_rmse_median	conventional_normalized_rmse_ci_low	conventional_normalized_rmse_ci_high	conventional_normalized_rmse_n	secondary_absolute_projection_median	secondary_absolute_projection_ci_low	secondary_absolute_projection_ci_high	secondary_absolute_projection_n	source_file	source_data_row_1based
HCC1143	qualified_primary_context	observed_shift_oracle	reference	observed_shift_oracle		48	47	0.97916666666666663	SS18L2	47	0.71342662672057822	0.51714808609884233	0.83402996585059752	estimated	47	1	1	1	47	0.97916666666666663	0.875	1	8	6	1	9.9990000999900015e-05	estimated	47	1081	0.0605282495699902	0.0605282495699902	0	47	47	0.036130035956706399	0.036130035956706399	0	47	47	1	1	1.0000000000000002	47	0	0	0	47	0.29057789436695147	0.21824728804926111	0.44527876938836169	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	1
HCC1143	qualified_primary_context	negated_oracle	reference	negated_oracle		48	47	0.97916666666666663	SS18L2	47	0.71342662672057822	0.51677837348857547	0.83134228231683494	estimated	47	-1	-1	-1	47	0.97916666666666663	0.875	1	8	6	1	9.9990000999900015e-05	estimated	47	1081	0.0605282495699902	0.0605282495699902	0	47	47	0.036130035956706399	0.036130035956706399	0	47	47	-1	-1.0000000000000002	-1	47	2	2	2	47	0.29057789436695147	0.20979201529749511	0.44527876938836169	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	2
HCC1143	qualified_primary_context	shared_mean_baseline	reference	shared_mean_baseline		48	47	0.97916666666666663	SS18L2	47				non_estimable_constant_score	47	0.1189087251214752	0.0822724573492431	0.21139003067287829	47	0.5	0.5	0.5	8	6			non_estimable_constant_score	47	1081	1	0.0605282495699902	0.93947175043000963	47	47		0.036130035956706399		0	47	0.11001932129321861	0.065520057799385495	0.1998313311347471	47	1.444399761482785	1.1861616716389749	1.7029909681448552	47	0.054509290847845698	0.0356507618554344	0.069479901692988802	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	3
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260920	reference	observed_magnitude_random_direction	20260920	48	47	0.97916666666666663	SS18L2	47	0.54920782141287516	0.31855937555976049	0.72096870880463582	estimated	47	-0.0009097082366002	-0.037032144593006799	0.048395409718860798	47	0.83333333333333337	0.5	1	8	6	0.014513985190910199	0.30256974302569739	estimated	47	1081	-0.001444885077095	0.0605282495699902	-0.061973134647085197	47	47	0.0094510912551435001	0.036130035956706399	-0.026678944701562901	47	47	-0.0065334886111541	-0.037660216337115297	0.044021646642671101	47	1.4148566770076754	1.3821445649461961	1.4337129956617507	47	0.024297233384838399	0.016929720038634698	0.037119388093049398	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	4
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260921	reference	observed_magnitude_random_direction	20260921	48	47	0.97916666666666663	SS18L2	47	0.5292008824563732	0.28638825062763301	0.70699199958827819	estimated	47	0.048824955008911597	-0.0111797532403061	0.078573505751242695	47	0.85416666666666663	0.5625	1	8	6	-0.00083181197513610002	0.51114888511148882	estimated	47	1081	-0.0012513627981771999	0.0605282495699902	-0.061779612368167501	47	47	0.013183872478594601	0.036130035956706399	-0.022946163478111702	47	47	0.043839031164044501	-0.024609803754223499	0.084197983653968494	47	1.3792570790038294	1.357023370123472	1.4220968695839999	47	0.0294140636402004	0.021025894931230499	0.038577214610069001	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	5
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260922	reference	observed_magnitude_random_direction	20260922	48	47	0.97916666666666663	SS18L2	47	0.55128946824071912	0.31637392936195952	0.72275106769306163	estimated	47	-0.0302181383875854	-0.073877734517176399	0.061414781822432603	47	0.83333333333333337	0.5	1	8	6	-0.0180263894612387	0.72222777722227782	estimated	47	1081	0.0067806069145728001	0.0605282495699902	-0.053747642655417302	47	47	0.023565555070646199	0.036130035956706399	-0.0125644808860601	47	47	-0.048370148512801997	-0.075778335326349894	0.068691383967889402	47	1.4354219856109116	1.370098695844622	1.4655222512928121	47	0.0285599838800716	0.023514348728172901	0.034783356359659498	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	6
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260923	reference	observed_magnitude_random_direction	20260923	48	47	0.97916666666666663	SS18L2	47	0.56158205533394856	0.32866614795782778	0.72851743645408729	estimated	47	0.0017037827429630999	-0.022897992897936498	0.055417567369015097	47	0.85416666666666663	0.5625	1	8	6	-0.016555721038289201	0.70662933706629338	estimated	47	1081	-0.0019802378581609999	0.0605282495699902	-0.062508487428151197	47	47	0.013871859865963799	0.036130035956706399	-0.022258176090742599	47	47	0.011501838595475799	-0.038782287138889197	0.069959377958244598	47	1.4130082924434926	1.374327785322645	1.4430342466297881	47	0.0227543884399087	0.0126734566499811	0.035020741435227501	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	7
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260924	reference	observed_magnitude_random_direction	20260924	48	47	0.97916666666666663	SS18L2	47	0.56054123192002647	0.32374241903872769	0.72615673213462062	estimated	47	0.0022740978688124002	-0.042298639338332902	0.052834150568289599	47	0.83333333333333337	0.5	1	8	6	-0.0180332956579876	0.71792820717928207	estimated	47	1081	-0.0026410016038874999	0.0605282495699902	-0.0631692511738777	47	47	0.021523060504372499	0.036130035956706399	-0.014606975452333901	47	47	-0.0019370719776728999	-0.040006468501949201	0.037640870704962401	47	1.4126046171035884	1.3763472304848876	1.4438721211852923	47	0.023720299985317099	0.015026390378872901	0.032395751175919897	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	8
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260925	reference	observed_magnitude_random_direction	20260925	48	47	0.97916666666666663	SS18L2	47	0.54805135095296165	0.31252822032673488	0.71518168043331709	estimated	47	-0.036100282836523702	-0.059596390237118303	0.0056687837558102999	47	0.85416666666666663	0.5625	1	8	6	0.061040719202019797	0.031996800319968002	estimated	47	1081	0.0052326293831046001	0.0605282495699902	-0.055295620186885601	47	47	0.0133916500697505	0.036130035956706399	-0.0227383858869558	47	47	-0.035635009794706997	-0.064840972382818801	0.029048895847165	47	1.4395140032917526	1.4101994300411484	1.4584551553417751	47	0.0255322828793953	0.0146022708304605	0.040529436868521902	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	9
HCC1143	qualified_primary_context	observed_magnitude_random_direction_seed20260926	reference	observed_magnitude_random_direction	20260926	48	47	0.97916666666666663	SS18L2	47	0.54053429296352451	0.30124994926657578	0.71818798970345898	estimated	47	0.0138689541047721	-0.067514919236675297	0.068181240389729003	47	0.83333333333333337	0.5	1	8	6	-0.0065313527083024998	0.58124187581241871	estimated	47	1081	-0.0014856508478709	0.0605282495699902	-0.062013900417861097	47	47	0.031595196513272097	0.036130035956706399	-0.0045348394434343003	47	47	0.0064180625263348997	-0.0442541892514592	0.060241567778277098	47	1.404372490399344	1.3643889385170014	1.4662461905472006	47	0.031402496744477301	0.018642562611060801	0.0483782772133593	47	docs/revision_delivery/Results/03_reference_context_metrics.csv	10
