cell_line	source_type	permutation_id	n_targets	spearman_rho	ci_lo_fisher95	ci_hi_fisher95	ci_method	empirical_p_two_sided
HCC38	observed		47.0	0.7257957275155708	0.5541175884911274	0.8382522334994763	fisher_z_transform	0.0009990009990009
HCC1143	observed		48.0	0.7792497165337711	0.6359107181815138	0.870620317810349	fisher_z_transform	0.0009990009990009
HCC38	endpoint_label_permutation	0		0.1849035877156692				
HCC38	endpoint_label_permutation	1		0.0953427192442584				
HCC38	endpoint_label_permutation	2		0.1812032032210466				
HCC38	endpoint_label_permutation	3		0.1687144055516956				
HCC38	endpoint_label_permutation	4		0.0408198664563047				
HCC38	endpoint_label_permutation	5		0.0462548061827815				
HCC38	endpoint_label_permutation	6		0.0280997947560397				
HCC38	endpoint_label_permutation	7		-0.1546645081736757				
HCC38	endpoint_label_permutation	8		0.1002572924011789				
HCC38	endpoint_label_permutation	9		-0.1469746466457883				
HCC38	endpoint_label_permutation	10		-0.1332716603141393				
HCC38	endpoint_label_permutation	11		0.0397213148094636				
HCC38	endpoint_label_permutation	12		0.0714636755523974				
HCC38	endpoint_label_permutation	13		-0.1935763638749407				
HCC38	endpoint_label_permutation	14		-0.0881732242859273				
HCC38	endpoint_label_permutation	15		-0.1976814779236625				
HCC38	endpoint_label_permutation	16		0.082564829036265				
HCC38	endpoint_label_permutation	17		-0.0545806712956822				
HCC38	endpoint_label_permutation	18		-0.1028591252489604				
HCC38	endpoint_label_permutation	19		0.1181810297970068				
HCC38	endpoint_label_permutation	20		0.0449249805050265				
HCC38	endpoint_label_permutation	21		-0.0345754676216292				
HCC38	endpoint_label_permutation	22		-0.0866699430849869				
HCC38	endpoint_label_permutation	23		0.1144228267946558				
HCC38	endpoint_label_permutation	24		0.1050562285426425				
HCC38	endpoint_label_permutation	25		0.0998525628470796				
HCC38	endpoint_label_permutation	26		-0.0446358879663841				
HCC38	endpoint_label_permutation	27		0.2766037409730336				
HCC38	endpoint_label_permutation	28		-0.1475528317230731				
HCC38	endpoint_label_permutation	29		-0.2797259403903713				
HCC38	endpoint_label_permutation	30		-0.0376398485312384				
HCC38	endpoint_label_permutation	31		-0.1193373999515763				
HCC38	endpoint_label_permutation	32		-0.1229799659384704				
HCC38	endpoint_label_permutation	33		0.1897025238571327				
HCC38	endpoint_label_permutation	34		-0.2670058686901064				
HCC38	endpoint_label_permutation	35		-0.031164175665649				
HCC38	endpoint_label_permutation	36		0.1788326444041791				
HCC38	endpoint_label_permutation	37		0.078806626033914				
HCC38	endpoint_label_permutation	38		-0.0769564337866027				
HCC38	endpoint_label_permutation	39		0.1477262872462585				
HCC38	endpoint_label_permutation	40		-0.0489144575382914				
HCC38	endpoint_label_permutation	41		0.1750744414018281				
HCC38	endpoint_label_permutation	42		0.2224277992314507				
HCC38	endpoint_label_permutation	43		-0.0146280824553046				
HCC38	endpoint_label_permutation	44		0.0764938857247749				
HCC38	endpoint_label_permutation	45		0.1103177127459339				
HCC38	endpoint_label_permutation	46		-0.0581654187748477				
HCC38	endpoint_label_permutation	47		-0.0397791333171921				
HCC38	endpoint_label_permutation	48		-0.009829146313841				
HCC38	endpoint_label_permutation	49		-0.0871903096545431				
HCC38	endpoint_label_permutation	50		-0.11008643871502				
HCC38	endpoint_label_permutation	51		-0.1437946287207221				
HCC38	endpoint_label_permutation	52		-0.0589748778830464				
HCC38	endpoint_label_permutation	53		0.0606516146071722				
HCC38	endpoint_label_permutation	54		0.0821600994821657				
HCC38	endpoint_label_permutation	55		-0.1008354774784637				
HCC38	endpoint_label_permutation	56		-0.5097279641342526				
HCC38	endpoint_label_permutation	57		0.0722153161528676				
HCC38	endpoint_label_permutation	58		-0.1387644185483446				
HCC38	endpoint_label_permutation	59		0.0191957445658543				
HCC38	endpoint_label_permutation	60		-0.2327194936071196				
HCC38	endpoint_label_permutation	61		0.0498395536619471				
HCC38	endpoint_label_permutation	62		0.1667485762889274				
HCC38	endpoint_label_permutation	63		0.0547541268188676				
HCC38	endpoint_label_permutation	64		0.0234743141377616				
HCC38	endpoint_label_permutation	65		-0.1053453210812849				
HCC38	endpoint_label_permutation	66		-0.1262178023712651				
HCC38	endpoint_label_permutation	67		0.1323465641904836				
HCC38	endpoint_label_permutation	68		-0.0239368621995894				
HCC38	endpoint_label_permutation	69		-0.0009829146313841				
HCC38	endpoint_label_permutation	70		0.2750426412643647				
HCC38	endpoint_label_permutation	71		-0.1835159435301857				
HCC38	endpoint_label_permutation	72		-0.2682778758601328				
HCC38	endpoint_label_permutation	73		0.2406984476736494				
HCC38	endpoint_label_permutation	74		0.2748113672334508				
HCC38	endpoint_label_permutation	75		-0.0583966928057616				
HCC38	endpoint_label_permutation	76		-0.1274319910335631				
HCC38	endpoint_label_permutation	77		0.0464282617059669				
HCC38	endpoint_label_permutation	78		0.1027434882335034				
HCC38	endpoint_label_permutation	79		0.1686565870439671				
HCC38	endpoint_label_permutation	80		-0.2383857073645103				
HCC38	endpoint_label_permutation	81		0.1846723136847552				
HCC38	endpoint_label_permutation	82		-0.0736607788460795				
HCC38	endpoint_label_permutation	83		0.1186435778588346				
HCC38	endpoint_label_permutation	84		0.1326934752368545				
HCC38	endpoint_label_permutation	85		-0.0640050880554239				
HCC38	endpoint_label_permutation	86		-0.0423231476572451				
HCC38	endpoint_label_permutation	87		0.1157526524724107				
HCC38	endpoint_label_permutation	88		0.0151484490248609				
HCC38	endpoint_label_permutation	89		0.078690989018457				
HCC38	endpoint_label_permutation	90		-0.0564308635429934				
HCC38	endpoint_label_permutation	91		-0.1952531005990666				
HCC38	endpoint_label_permutation	92		0.0830273770980928				
HCC38	endpoint_label_permutation	93		0.1074267873595101				
HCC38	endpoint_label_permutation	94		-0.2407562661813779				
HCC38	endpoint_label_permutation	95		0.0211615738286225				
HCC38	endpoint_label_permutation	96		-0.1650140210570731				
