pathway	ES	NES	pval	padj	log2err	size	n_genes_in_set	direction	leading_edge	context	contrast_id	positive_category	negative_category	collection	ranking_method	claim_boundary	padj_within_context_contrast	q_value	minus_log10_q
Myc Targets V1	-0.718803278188062	-1.62801320827276	7.33805202332483e-06	9.17256502915603e-05	0.610526878385931	196	200	down	HNRNPA2B1;HNRNPU;RPS3;TYMS;HSP90AB1;EIF4G2;HNRNPA3;LDHA;HNRNPR;HSPD1;SRSF7;HNRNPA1;SERBP1;PTGES3;PSMA1;HNRNPD;XRCC6;RPS2;HSPE1;SRSF3;SNRPA1;MCM4;PPM1G;PCNA;CCT3;PSMD1;RANBP1;EEF1B2;CDC20;HNRNPC;SET;RAD23B;MCM5;CCT5;RUVBL2;G3BP1;PPIA;RPL6;XPO1;RAN;MCM7;NAP1L1;C1QBP;RRM1;GSPT1;RPL34;RPLP0;SRSF2;CYC1;YWHAE;SRSF1;NOP56;PSMA4;ILF2;SMARCC1;SNRPD3;MCM6;POLD2;TRIM28;SF3B3;CDC45;EIF4H;PGK1;EIF4A1;CCNA2;HPRT1;SLC25A3;SRPK1;KPNB1;EIF4E;GOT2;PSMB3;VBP1;SNRPD2;CLNS1A;KPNA2;TFDP1;FBL;HDGF;FAM120A;CCT2;IMPDH2;SNRPA;PABPC4;HDAC2;VDAC3;NOP16;TARDBP;PSMA2;NOLC1;NPM1;DEK;CTPS1;CDK4;TOMM70;PSMD3;PSMD14;ABCE1;VDAC1;MCM2;APEX1;PHB;PRDX3;DHX15;CANX;CDK2	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	9.172565029156037e-05	9.172565029156037e-05	4.037509200618238
Myc Targets V1	-0.820747297256772	-1.94695144151258	1e-10	5e-09		196	200	down	NPM1;RPS3;PSMD1;HNRNPU;LDHA;TYMS;HSPD1;PSMA1;KPNB1;RPL14;HNRNPA1;RPL34;EEF1B2;HNRNPD;RANBP1;SRSF2;PSMC6;HSP90AB1;PPM1G;PTGES3;XRCC6;SRSF3;ILF2;SET;G3BP1;DDX18;RNPS1;EIF4H;HNRNPA2B1;YWHAE;RUVBL2;SNRPD3;PSMA2;SERBP1;C1QBP;PCNA;SNRPA;NAP1L1;PSMD3;HNRNPR;EIF3B;EIF2S1;PGK1;SF3B3;USP1;RAD23B;PSMD14;DDX21;VDAC1;CUL1;EIF3J;DUT;MCM2;MCM4;RPS2;RACK1;RSL1D1;TCP1;POLD2;SMARCC1;EIF1AX;CCT5;HPRT1;TOMM70;EXOSC7;SRM;PCBP1;HSPE1;APEX1;MCM5;UBE2L3;CTPS1;EIF4A1;UBA2;PRDX3;ODC1;BUB3;SYNCRIP;CANX;CCT2;PABPC4;CNBP;FAM120A;EIF4G2;HNRNPA3;LSM2;CCNA2;AP3S1;XPOT;RPL22;CDC45;EIF2S2;TFDP1;TARDBP;COX5A;XPO1;HDGF;PHB;MYC;CCT3;DEK;SSB;RPLP0;RPL18;SNRPD1;SSBP1;TRA2B;SRSF7;DHX15;RAN;RRM1;ERH;NOP56;PPIA;CDK2;GSPT1;SLC25A3;EIF3D;PSMB2;SNRPG;NDUFAB1;EIF4E;TXNL4A;CSTF2;CAD;PWP1;NME1;ABCE1;PABPC1;RPS10;SNRPA1;PSMA7;NOP16;GOT2;RPS6;MCM6;RPS5	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	5e-09	5e-09	8.301029995663981
E2F Targets	-0.79225248047855	-1.79465049736359	1e-10	2.5e-09		198	200	down	NASP;PRKDC;DNMT1;STMN1;TK1;SMC4;HMMR;ANP32E;PAICS;HNRNPD;XRCC6;CDKN3;LMNB1;MCM4;TUBB;SMC1A;BIRC5;PCNA;TMPO;CCNB2;RANBP1;STAG1;MYBL2;CDC20;DLGAP5;MCM5;HMGB3;SSRP1;MKI67;UBE2T;HMGA1;HMGB2;RFC3;CENPE;XPO1;ILF3;RAN;MCM7;NAP1L1;GSPT1;RRM2;GINS1;SRSF2;SRSF1;MELK;NOP56;LIG1;MMS22L;SPC25;CIT;PSIP1;DEPDC1;DDX39A;RPA3;MCM6;EZH2;RPA1;POLD2;NBN;MCM3;ATAD2;PLK1;AURKA;ASF1B;NUP107;HELLS;MSH2;IPO7;TFRC;UNG;SHMT1;CDC25B;CCP110;CBX5;UBR7;KPNA2;TCF19;KIF4A;BRCA1;CSE1L;TACC3;CDCA3;KIF22;JPT1;PNN;KIF18B;DSCC1;PRIM2;TUBG1;KIF2C;BRCA2;TIPIN;POLE;GINS4;POLA2;E2F8;CENPM;NOLC1;NCAPD2;DEK;CTPS1;CDK4;RACGAP1;LUC7L3;LBR;POLD1;SMC6;CHEK2;TIMELESS;TRIP13;BARD1;DIAPH3;TOP2A;MCM2;BUB1B;SNRPB;CTCF;PDS5B;NUP205;AURKB	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.5e-09	2.5e-09	8.602059991327963
E2F Targets	-0.694495803968757	-1.64885938657052	1.14684666230234e-06	1.91141110383723e-05	0.643551836150722	198	200	down	HMGA1;PAICS;TUBB;ATAD2;HNRNPD;RANBP1;SRSF2;RAD21;SMC3;TMPO;RFC1;XRCC6;SLBP;SMC1A;DCTPP1;MKI67;STMN1;PNN;PCNA;NAP1L1;ILF3;IPO7;EIF2S1;PHF5A;USP1;ANP32E;JPT1;DIAPH3;HMGB2;DUT;MCM2;HMGB3;MCM4;RAD51AP1;POLD2;SMC4;BARD1;RPA1;MELK;CNOT9;MCM5;LMNB1;BIRC5;NASP;CTPS1;GINS1;CDKN3;CDC25B;SYNCRIP;TIMELESS;MMS22L;KIF4A;TCF19;PLK1;XPO1;RAD1;SSRP1;MYC;SMC6;NAA38;DEK;TBRG4;PLK4;DNMT1;PRKDC;TRA2B;RRM2;RAN;CENPE;MSH2;LUC7L3;NOP56;PSMC3IP;GSPT1;TFRC;TIPIN;TRIP13;CKS1B;NME1;PPM1D;PPP1R8;LBR;PRIM2;BRCA1;CTCF;ASF1A;TK1;CCNE1;RPA2;MCM6;CSE1L;RPA3;NCAPD2;GINS4;DCK;CBX5;RFC3;CDK4;CDKN1B;SHMT1;NUP153;POLE;SPC25	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.911411103837233e-05	1.911411103837233e-05	4.718645895401014
G2-M Checkpoint	-0.801357519872186	-1.81470532267488	1e-10	2.5e-09		195	200	down	NCL;MT2A;NASP;HNRNPU;SFPQ;CENPF;PRC1;HSPA8;STMN1;SMC4;HMMR;HMGN2;CBX1;RASAL2;HNRNPD;EFNA5;CDKN3;LMNB1;NSD2;SMAD3;TPX2;SMC1A;CCND1;BIRC5;TMPO;CCNB2;DKC1;STAG1;MYBL2;CDC20;RAD23B;CASP8AP2;MCM5;HMGB3;SMC2;G3BP1;MKI67;NDC80;HMGA1;NUSAP1;RBL1;CENPE;XPO1;ATRX;ILF3;GSPT1;SRSF2;DTYMK;SRSF1;KIF23;SMARCC1;DDX39A;GINS2;MCM6;EZH2;MCM3;SLC7A5;MNAT1;CDC45;PLK1;CUL3;AURKA;CCNA2;FBXO5;KNL1;CHAF1A;UCK2;KIF20B;DBF4;KPNB1;BUB1;CDC25B;KPNA2;HIF1A;TFDP1;KIF4A;E2F1;TACC3;KIF22;JPT1;CUL5;PRIM2;MEIS2;FANCC;KIF2C;BRCA2;KIF11;POLE;POLA2;TENT4A;MAPK14;MARCKS;NOLC1;TOP1;CDK4;RACGAP1;LBR;TROAP;BARD1;WRN;KMT5A;TOP2A;MCM2;PBK;EWSR1;POLQ;CUL4A;CTCF;PDS5B;AURKB;SLC12A2;RPS6KA5;CDC7;HIRA;CCNF;UPF1;NUP98;RAD54L;NEK2;MTF2;KIF15;TTK;CUL1	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.5e-09	2.5e-09	8.602059991327963
G2-M Checkpoint	-0.684303950614596	-1.62201755975431	2.31323414023801e-06	2.89154267529752e-05	0.627256739718528	195	200	down	HMGA1;HNRNPU;MT2A;KPNB1;HNRNPD;NCL;SRSF2;RAD21;CBX1;SQLE;TMPO;RASAL2;SMC1A;MKI67;G3BP1;STMN1;SLC7A1;ILF3;HMGN2;PRC1;RAD23B;JPT1;CUL1;EFNA5;MCM2;HMGB3;HSPA8;SMC4;SMARCC1;BARD1;MCM5;LMNB1;AMD1;BIRC5;NASP;CDKN3;ODC1;BUB3;CDC25B;SYNCRIP;GINS2;FANCC;CCNA2;PML;UCK2;ATRX;NDC80;CDC45;TFDP1;KIF4A;CDC6;PLK1;XPO1;SFPQ;MYC;CHMP1A;PLK4;RBL1;KIF11;TLE3;SNRPD1;CCNF;SS18;TRA2B;SLC38A1;CENPE;MNAT1;EXO1;MARCKS;GSPT1;ABL1;BUB1;NUP50;DBF4;CKS1B;EWSR1;NUMA1;NSD2;SMAD3;LBR;PRIM2;CTCF;E2F4;FOXN3;TENT4A;MAP3K20;RPA2;CENPA;CENPF;SRSF10;MCM6;KNL1;KIF5B;NUP98;INCENP;CHAF1A;LIG3;WRN;CDK4;CDKN1B;SAP30;POLE	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	2.891542675297512e-05	2.891542675297512e-05	4.538870393708145
Mitotic Spindle	-0.770971206082154	-1.74632889980082	8.756321101390031e-09	1.45938685023167e-07	0.747739663149885	199	199	down	ARHGAP29;TRIO;CENPF;PRC1;SMC4;SEPTIN9;MYH9;RASAL2;LMNB1;MYO1E;TPX2;VCL;SMC1A;BIRC5;SPTBN1;CCNB2;ANLN;AKAP13;FLNA;ARHGDIA;DLGAP5;ACTN4;PDLIM5;NDC80;NIN;NUSAP1;DST;CENPE;TBCD;TLK1;SAC3D1;ECT2;CCDC88A;FSCN1;EPB41L2;YWHAE;KIF23;CTTN;DYNC1H1;CLASP1;ALMS1;ITSN1;RASA1;KIF1B;LRPPRC;PLK1;AURKA;FBXO5;KIF20B;FGD6;BUB1;RABGAP1;SORBS2;ARHGEF3;KIF4A;TUBGCP5;CDC42BPA;RAPGEF6;KIF22;ARFGEF1;ABR;PXN;KIF2C;BRCA2;KIF11;FLNB;MARCKS;CEP192;HOOK3;TIAM1;KNTC1;SSH2;EPB41;RACGAP1;MYO9B;FARP1;KIF3B;CKAP5;CEP57;CEP250;DLG1;TOP2A;CDC42;CLIP2;RALBP1;CD2AP;OPHN1;PCNT;GEMIN4;CNTROB;STAU1;NCK2;CDK5RAP2;SOS1;SMC3;NF1;NEK2;ARHGAP10;KATNB1;KIF15;TTK;PCM1;BCAR1;RFC1;RAPGEF5;ARF6;ARHGAP27;TUBA4A;NOTCH2;PALLD;CEP131;ROCK1;EZR;KIF3C;FGD4;ESPL1;MYH10;TUBGCP6;ATG4B	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.459386850231672e-07	1.459386850231672e-07	6.835829571265174
Mitotic Spindle	-0.60642729915171	-1.43977693004029	0.0022933149868134	0.014333218667584	0.326351610990907	199	199	down	ARHGAP29;ARF6;SMC3;RASAL2;RFC1;SMC1A;FSCN1;YWHAE;MYO1E;PRC1;ROCK1;FGD6;BIN1;SMC4;NIN;FLNB;MYO9B;BCAR1;ANLN;LMNB1;BIRC5;PDLIM5;ARHGEF7;SPTBN1;CLIP2;LRPPRC;NF1;RALBP1;ARHGDIA;FGD4;DYNC1H1;ARHGEF3;RAB3GAP1;DST;CDC42;RICTOR;SAC3D1;AKAP13;NDC80;MYH9;OPHN1;RANBP9;KIF4A;PLK1;ARHGAP27;CEP192;EZR;KIF11;PCNT;TUBD1;FLNA;CDK5RAP2;TUBGCP3;KNTC1;CLIP1;PCM1;CENPE;MYH10;MARCKS;FARP1;TSC1;ABL1;PPP4R2;BUB1;LATS1;CEP57;MAP1S;NUMA1;SOS1;GSN;RASA1;EPB41L2;CAPZB;ARHGEF2;APC;CENPF;ABI1;RASA2;VCL;SEPTIN9;ARFGEF1;KIF5B;WASF2;ARHGAP10;INCENP;ITSN1;KIFAP3;SSH2;RHOF	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.0143332186675837	0.0143332186675837	1.8436562734820428
mTORC1 Signaling	-0.565832881732654	-1.28175333955761	0.0377607288420043	0.157336370175018	0.0800618093065621	198	200	down	ENO1;CALR;LDHA;HSP90B1;HSPD1;HSPE1;MCM4;CCT6A;GMPS;PDAP1;FADS1;TCEA1;PPIA;IMMT;SDF2L1;DHFR;ATP2A2;HSPA4;PLOD2;GAPDH;RRM2;HSPA5;PSMA4;DDX39A;RPA1;ACACA;SLC7A5;PLK1;PSMD12;STIP1;HMBS;FDXR;PGK1;AURKA;HPRT1;CTSC;UCHL5;ACTR2;TFRC;G6PD;BUB1;UNG;SERPINH1;USO1;EBP;SRD5A1;PSMB5;PRDX1;CACYBP;IDH1;IFI30;TUBG1;PITPNB;ARPC5L;ACLY;SLC9A3R1;ACSL3;PSMA3;LDLR;DHCR24;PSMD14;PSPH;ME1;GPI;PFKL;TBK1;MCM2;POLR3G;MAP2K3;GSK3B;HMGCS1;IDI1;NUP205;TOMM40;ELOVL6;CANX;NFYC;NMT1;M6PR;CCNF;RDH11;ADD3;TMEM97;TPI1;CYP51A1	HCC1143	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	0.1573363701750179	0.1573363701750179	0.8031708734318184
mTORC1 Signaling	-0.737280554893339	-1.75043816899215	5.92636329328385e-09	1.48159082332096e-07	0.761460801445585	198	200	down	PLOD2;SDF2L1;HSP90B1;ENO1;LDHA;HSPD1;TXNRD1;CTSC;ME1;CALR;PSMC6;SQLE;ACTR3;GPI;ACTR2;GAPDH;PSMA3;ERO1A;PGK1;TPI1;POLR3G;SEC11A;PFKL;PSMD14;PRDX1;RPN1;ATP6V1D;CCT6A;PSMD13;CYP51A1;ACACA;TBK1;MCM2;MCM4;ATP2A2;GMPS;HSPA9;RDH11;SLC1A5;HPRT1;IDH1;DHFR;PNO1;CD9;SLC2A1;SSR1;LDLR;SORD;HSPE1;FADS1;ALDOA;RPA1;ABCF2;HSPA5;NUPR1;PSAT1;ATP5MC1;EEF1E1;PSMD12;GBE1;CANX;GGA2;HSPA4;SQSTM1;TMEM97;EIF2S2;PLK1;PPA1;ELOVL6;CCNF;SLC7A11;RRM2;ACLY;CCNG1;NFIL3;CACYBP;NUFIP1;PITPNB;PPIA;TFRC;TOMM40;PSME3;BUB1;NMT1;TCEA1;M6PR;HMGCS1;GLA;FADS2;SLC9A3R1;PGM1;ELOVL5;IFI30;AK4;NAMPT;ADIPOR2;GCLC;CYB5B;DHCR24;P4HA1;DDIT4	HCC38	endpoint_anchor_vs_middle	endpoint_anchor	middle	hallmark	mean_signed_shift_positive_category_minus_negative_category	exploratory response-program contrast; not a causal mechanism or target-membership enrichment claim	1.4815908233209626e-07	1.4815908233209626e-07	6.829271720587499
