dataset_kind	dataset_label	role	cells_or_models	features	benchmark_use	panel	context	profile	umap1	umap2	is_control	is_highlight	target	expression_control	expression_perturbed	delta
perturbation_expression	HCC38	primary	14,175 cells	36,601 genes	47 targets; 1,666 controls	a										
perturbation_expression	HCC1143	primary	11,405 cells	36,601 genes	47 targets; 1,325 controls	a										
perturbation_expression	Dixit 2016 K562 7d	supplementary temporal	28,034 cells	20,824 genes	10 targets; 5,381 controls	a										
perturbation_expression	Dixit 2016 K562 13d	supplementary temporal	15,849 cells	20,824 genes	10 targets; 3,491 controls	a										
perturbation_expression	Replogle K562 essential day 7	supplementary architecture-form	310,385 cells	8,563 genes	2057 targets; 10,691 controls	a										
endpoint_dataset	DepMap CRISPR dependency	primary endpoint	1,186 cell lines	18,435 genes	HCC38 47; HCC1143 48; K562 7d 10; K562 13d 10	a										
endpoint_dataset	DEMETER2 RNAi	sensitivity endpoint	701 mapped cell lines	17,309 genes	HCC38 48; HCC1143 48; K562 7d 9; K562 13d 9	a										
						b	HCC38	control	-0.1811756044626236	3.1781930923461914	True	False				
						b	HCC38	ARID1A	-0.0064020780846476	5.921777248382568	False	False				
						b	HCC38	BMPR1A	-0.6135168671607971	2.4970602989196777	False	False				
						b	HCC38	CDKN2A	-1.0537737607955933	3.0423686504364014	False	False				
						b	HCC38	COMMD6	1.0738273859024048	2.3153867721557617	False	False				
						b	HCC38	ENY2	-1.0831713676452637	4.734131813049316	False	False				
						b	HCC38	ERC1	0.3548271954059601	1.7392690181732178	False	False				
						b	HCC38	ETV3	-0.458087146282196	3.583959579467773	False	False				
						b	HCC38	GON4L	0.522932767868042	3.942136526107788	False	False				
						b	HCC38	HDGF	0.594892680644989	2.9122939109802246	False	False				
						b	HCC38	HLX	0.277427077293396	4.459259510040283	False	False				
						b	HCC38	KLF3	0.1654262393712997	3.1739234924316406	False	False				
						b	HCC38	LAMTOR5	1.5831084251403809	2.143044233322144	False	False				
						b	HCC38	MAML3	-0.3190303444862366	1.713227152824402	False	False				
						b	HCC38	MIER1	-1.1777626276016235	3.958239078521729	False	False				
						b	HCC38	MTDH	1.2162405252456665	3.7580995559692383	False	False				
						b	HCC38	MYBL1	-0.178122341632843	2.3134875297546387	False	False				
						b	HCC38	NCOA1	0.4536142349243164	5.641357421875	False	False				
						b	HCC38	NPM1	-0.7932538390159607	5.643231391906738	False	True				
						b	HCC38	PA2G4	0.1845115274190902	1.3023691177368164	False	False				
						b	HCC38	PARK7	-0.6877871751785278	1.7622190713882446	False	False				
						b	HCC38	PCBD1	0.7635255455970764	3.25518536567688	False	False				
