cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	dataset_role	control_target_prefix	single_perturbation_filter_status	single_perturbation_evidence_source	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_shift_top50_concentration	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	shift_value	depmap_value_raw	depmap_strength	shift_quantile	depmap_quantile	shift_band	depmap_band	joint_grid	grid_role	is_q1_anchor	is_q2_transcriptomic_excess	is_q3_dependency_excess	is_q4_low_information	category_label	panel	n_targets	fraction	truth_metric	depmap_endpoint	observed_spearman_rho_aligned	null_iterations	null_mean	null_sd	null_q005	null_q025	null_q500	null_q975	null_q995	null_abs_q95	empirical_p_two_sided	seed	claim_tier	covariate_status
HCC38	ACH-000276	ARID1A	365.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.5521106820450274	0.0085365617536346	0.41084663373779	0.31870914363923	0.256314648404856	0.0510021624423772	0.6844363647374117	35.0	-0.1959555409927433	0.0939245801107399	True	True	both	0.0085365617536346	0.0939245801107399	0.0939245801107399	0.8085106382978723	0.6382978723404256	high	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	BMPR1A	212.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.4112086854129164	0.0056197913890013	0.1607056301105885	0.1198906234823434	0.0986097664209315	0.0291435248290485	0.1313814779242541	3.0	-0.3519701364399601	0.2329854350238944	True	True	both	0.0056197913890013	0.2329854350238944	0.2329854350238944	0.574468085106383	0.723404255319149	middle	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	CDKN2A	399.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.6153802596872924	0.0040551040534158	0.0705642285462587	0.0630156452727782	0.0564257139208651	0.0212287018833288	0.0529303840921642	0.0	0.2816188048418129	0.0034117871973033	True	True	both	0.0040551040534158	0.0034117871973033	0.0034117871973033	0.0851063829787234	0.0425531914893617	low	low	Q4_low_information	low_information_background	False	False	False	True	Low-information	a																		
HCC38	ACH-000276	COMMD6	395.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.715292039582324	0.0042202270388882	0.0912586486445996	0.0746733752831189	0.064967658368902	0.0241716902111654	0.0628530619862886	0.0	0.1473822164133259	0.0087958879569685	True	True	both	0.0042202270388882	0.0087958879569685	0.0087958879569685	0.1489361702127659	0.1489361702127659	low	low	Q4_low_information	low_information_background	False	False	False	True	Low-information	a																		
HCC38	ACH-000276	ENY2	93.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	4.544919712264169	0.0103397858020701	0.2917423714764887	0.2362799890211731	0.2003900068514441	0.0312170926316909	0.4591876502228338	14.0	-0.5509808712071267	0.4895161201697765	True	True	both	0.0103397858020701	0.4895161201697765	0.4895161201697765	0.9361702127659576	0.8297872340425532	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False	Anchor	a																		
HCC38	ACH-000276	ERC1	433.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.7068626495623005	0.00417172244801	0.0939941271692788	0.0759905199899519	0.0646887614733722	0.0248840498741996	0.0660008981986344	0.0	0.2188525570329813	0.0054295617631019	True	True	both	0.00417172244801	0.0054295617631019	0.0054295617631019	0.1276595744680851	0.0851063829787234	low	low	Q4_low_information	low_information_background	False	False	False	True	Low-information	a																		
HCC38	ACH-000276	ETV3	244.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.131250251028423	0.0051298888376656	0.1202520673834786	0.0976057317693104	0.0835667705967653	0.025992282627765	0.1174565194971322	0.0	-0.1735948251121793	0.0807914252803547	True	True	both	0.0051298888376656	0.0807914252803547	0.0807914252803547	0.4680851063829787	0.5531914893617021	middle	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	GON4L	167.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.438389539750892	0.0060144581054616	0.1312072613898295	0.1040296560141868	0.0898378970438039	0.0236285848281612	0.1331370425297109	1.0	-0.4178073081616394	0.3129469325001975	True	True	both	0.0060144581054616	0.3129469325001975	0.3129469325001975	0.6382978723404256	0.7872340425531915	middle	high	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	HDGF	254.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.310398267970584	0.0053940020400889	0.1533492306088471	0.1178306675327504	0.0978328739693608	0.0298417497987878	0.1102646874948405	1.0	-0.0275129839181656	0.0286996254177853	True	True	both	0.0053940020400889	0.0286996254177853	0.0286996254177853	0.5319148936170213	0.4042553191489361	middle	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	HLX	289.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.2837459862813443	0.0052991294769277	0.1528302155414405	0.1231100955963321	0.100538112853386	0.0317370232967542	0.1391844016536794	0.0	0.1969791502719058	0.006315463793662	True	True	both	0.0052991294769277	0.006315463793662	0.006315463793662	0.4893617021276595	0.1063829787234042	middle	low	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	KLF3	236.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.319837106922052	0.0054676604656395	0.1583479892177527	0.1242309120996855	0.1024132102228947	0.0310388190672637	0.1040771771502981	0.0	-0.2832468490799181	0.1616884807733207	True	True	both	0.0054676604656395	0.1616884807733207	0.1616884807733207	0.5531914893617021	0.6808510638297872	middle	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	LAMTOR5	157.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	5.5264970297394775	0.0106435490794122	0.5011713827328982	0.3877554563730358	0.307837923945111	0.0497678069616905	0.8951881345146226	59.0	-0.1880265849724247	0.0890975409858624	True	True	both	0.0106435490794122	0.0890975409858624	0.0890975409858624	0.9574468085106383	0.6170212765957447	high	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	MAML3	423.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.5384476186420233	0.0039010408237359	0.0626874537424947	0.056597881160178	0.051537698287254	0.0198196842273556	0.0477434445130597	0.0	0.1348356419568611	0.009549016733777	True	True	both	0.0039010408237359	0.009549016733777	0.009549016733777	0.0212765957446808	0.1702127659574468	low	low	Q4_low_information	low_information_background	False	False	False	True	Low-information	a																		
HCC38	ACH-000276	MIER1	267.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.045207713573186	0.0049938655360828	0.1101133047226791	0.0890285826337256	0.0762914107006821	0.0243539644642461	0.0931820618504026	0.0	0.1844901338995709	0.0068709338808792	True	True	both	0.0049938655360828	0.0068709338808792	0.0068709338808792	0.4042553191489361	0.1276595744680851	middle	low	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	MTDH	282.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	2.564566136296016	0.0056310162158605	0.1834632984809108	0.1375150093016028	0.1116694997155183	0.0333611012047293	0.1768599083744533	1.0	-0.0521834016027112	0.0342163047187118	True	True	both	0.0056310162158605	0.0342163047187118	0.0342163047187118	0.5957446808510638	0.425531914893617	middle	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	MYBL1	220.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	3.414490893578291	0.0071407239504648	0.2715294700642121	0.2160393210971072	0.1770059801844841	0.0413302100753347	0.3997225226225005	12.0	0.0709136850199211	0.0145675964421822	True	True	both	0.0071407239504648	0.0145675964421822	0.0145675964421822	0.6808510638297872	0.2553191489361702	middle	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	NCOA1	389.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	1.803675839063153	0.0043489041564256	0.1064235480969592	0.0854668305068864	0.0714710005187241	0.0268469414253826	0.0867254833194053	1.0	-0.0933676037953646	0.0459486880054965	True	True	both	0.0043489041564256	0.0459486880054965	0.0459486880054965	0.1702127659574468	0.4893617021276595	low	middle	middle	middle_band	False	False	False	False	Middle	a																		
HCC38	ACH-000276	NPM1	80.0	1666.0	3.0	14485.0	36601.0	mtx_protospacer	primary	intergenic_chr_	verified_via_num_features_eq_1	num_features	5.049583398617561	0.0113723052385142	0.3091787250623715	0.2438272070138093	0.2066476959138929	0.0292894157855839	0.8004780403231067	11.0	-0.9484209992220038	0.8555302996262993	True	True	both	0.0113723052385142	0.8555302996262993	0.8555302996262993	0.9787234042553192	0.8936170212765957	high	high	Q1_anchor	canonical_bridge_anchor	True	False	False	False	Anchor	a																		
