context	model	entrant_id	centering	n_valid_targets	n_pairs	leading_singular_energy_share	effective_rank	mean_pairwise_cosine	excess_target_similarity	target_identity
HCC1143	Observed	NA	uncentered	47	1081	0.21952959427520918	13.089124277698865	0.0605282495699902	0.0	NA
HCC1143	Geneformer kernel	geneformer_hcc_formal_v1	uncentered	47	1081	0.5612693666614963	5.156275309412625	0.4777565643621391	0.4172283147921489	-0.0296412539525389
HCC1143	Geneformer ridge	lm_g_geneformer_ridge_hcc_formal_v1	uncentered	47	1081	0.270315989435718	9.31560341263679	0.03679552381098566	-0.0237327257590045	-0.0180060508543069
HCC1143	Linear low-rank	lm_train_lowrank_hcc_formal_v1	uncentered	47	1081	0.23085057418933672	10.233856971022142	0.032587441532425265	-0.0279408080375649	0.0281941444951152
HCC1143	scGPT kernel	scgpt_hcc_formal_v1	uncentered	47	1081	0.5347064052009594	5.727282675789216	0.2535636536365696	0.1930354040665793	-0.0338890114335079
HCC1143	scGPT ridge	lm_g_scgpt_ridge_hcc_formal_v1	uncentered	47	1081	0.2586204237792127	10.443250752197933	0.027258706686751535	-0.0332695428832386	0.0107242215994295
HCC1143	CPA	cpa_v0.8.8	uncentered	47	1081	0.9360535281954157	1.2745253837788788	0.9387438609106422	0.8782156113406521	0.0061119841227771
HCC1143	CellOT	cellot_hcc_seed123_retrain_v1	uncentered	47	1081	0.5216222898880019	6.947823148409275	0.5665588833822041	0.5060306338122138	-0.0028502833440583
HCC1143	GEARS	gears_hcc_formal_v1	uncentered	47	1081	0.4633218220875185	5.189824716828859	0.4724202434574844	0.4118919938874942	0.0034259390670155
HCC1143	scGen	scgen_hcc_formal_v1	uncentered	47	1081	0.672404038536673	4.261725314706118	0.7789692471597668	0.7184409975897765	0.3272104246902518
HCC1143	Shared mean	shared_mean_baseline	uncentered	47	1081	1.0	1.0	1.0	0.9394717504300099	NA
HCC38	Observed	NA	uncentered	47	1081	0.2096652277786564	14.390083402356229	0.0573125562535606	0.0	NA
HCC38	Geneformer kernel	geneformer_hcc_formal_v1	uncentered	47	1081	0.4958729301463226	6.291816710592199	0.5146872998631231	0.4573747436095625	0.0857608567407805
HCC38	Geneformer ridge	lm_g_geneformer_ridge_hcc_formal_v1	uncentered	47	1081	0.43154276653449186	8.260354263542919	0.02402884700577577	-0.0332837092477848	0.042451032975142
HCC38	Linear low-rank	lm_train_lowrank_hcc_formal_v1	uncentered	47	1081	0.24016957523917276	10.671349431632757	0.017507691721464578	-0.039804864532096	-0.0130078453255117
HCC38	scGPT kernel	scgpt_hcc_formal_v1	uncentered	47	1081	0.38734486012794095	8.281215956172638	0.202188361964867	0.1448758057113064	-0.0143393828576987
HCC38	scGPT ridge	lm_g_scgpt_ridge_hcc_formal_v1	uncentered	47	1081	0.26016266653506304	10.819614937107234	0.0072176059978728314	-0.0500949502556877	-0.0123767880352373
HCC38	CPA	cpa_v0.8.8	uncentered	47	1081	0.9946940301777653	1.037894757430148	0.9943975900943735	0.9370850338408128	0.0330358918939869
HCC38	CellOT	cellot_hcc_seed123_retrain_v1	uncentered	47	1081	0.6303880253679174	5.599803698323167	0.6367425889152821	0.5794300326617218	-0.0337178289501308
HCC38	GEARS	gears_hcc_formal_v1	uncentered	47	1081	0.5911442343083583	4.712353380911409	0.5460301042813953	0.4887175480278347	0.0957375941622403
HCC38	scGen	scgen_hcc_formal_v1	uncentered	47	1081	0.699604465305251	4.037130020486277	0.7937453571091763	0.7364328008556157	0.4312415061854633
HCC38	Shared mean	shared_mean_baseline	uncentered	47	1081	1.0	1.0	1.0000000000000002	0.9426874437464396	NA
