cell_line	depmap_model_id	target_gene	n_cells_target	n_sgrnas_observed	raw_shift_mean_abs	depmap_gene_column_found	depmap_gene_dependency	passes_minimum_cells	endpoint_nonmissing	final_eligible	exclusion_reason	expression_feature_match_count
HCC1143	ACH-000374	ARID1A	195	3	0.0073327186787757	True	0.2654515287532237	True	True	True	retained	1
HCC1143	ACH-000374	BMPR1A	93	3	0.0070281282052424	True	0.307130270365165	True	True	True	retained	1
HCC1143	ACH-000374	CDKN2A	169	3	0.0050523230156554	True	6.198489826465077e-05	True	True	True	retained	1
HCC1143	ACH-000374	COMMD6	324	3	0.0045342930040741	True	0.1351756293730245	True	True	True	retained	1
HCC1143	ACH-000374	ENY2	161	3	0.0105137437444661	True	0.148881151602389	True	True	True	retained	1
HCC1143	ACH-000374	ERC1	412	3	0.0048784834929897	True	0.0303840215886299	True	True	True	retained	1
HCC1143	ACH-000374	ETV3	187	3	0.0053871026377591	True	0.1444988533493548	True	True	True	retained	1
HCC1143	ACH-000374	GON4L	115	3	0.0076879048971422	True	0.1493363288328347	True	True	True	retained	1
HCC1143	ACH-000374	HDGF	319	3	0.0039901671750222	True	0.0196252078195258	True	True	True	retained	1
HCC1143	ACH-000374	HLX	213	3	0.0050212083343797	True	0.0236239287972883	True	True	True	retained	1
HCC1143	ACH-000374	KLF3	223	3	0.0053919861225157	True	0.0369385703770605	True	True	True	retained	1
HCC1143	ACH-000374	LAMTOR5	274	3	0.0093777769035242	True	0.1226400958971878	True	True	True	retained	1
HCC1143	ACH-000374	MAML3	341	3	0.0042930848646172	True	0.0050198572939971	True	True	True	retained	1
HCC1143	ACH-000374	MIER1	254	3	0.0057833931966825	True	0.0105919574277721	True	True	True	retained	1
HCC1143	ACH-000374	MTDH	290	3	0.0047338690320834	True	0.0123435627679496	True	True	True	retained	1
HCC1143	ACH-000374	MYBL1	142	3	0.0084130142568229	True	0.0210310036855235	True	True	True	retained	1
HCC1143	ACH-000374	NCOA1	334	3	0.0039071575713196	True	0.0248991192692647	True	True	True	retained	1
HCC1143	ACH-000374	NPM1	125	3	0.0074812035133293	True	0.1622748801750765	True	True	True	retained	1
HCC1143	ACH-000374	PA2G4	154	3	0.0059315461556859	True	0.0861889371200693	True	True	True	retained	1
HCC1143	ACH-000374	PARK7	215	3	0.0061480042391653	True	0.1318604273725387	True	True	True	retained	1
HCC1143	ACH-000374	PCBD1	214	3	0.004675198066501	True	0.0111916491629234	True	True	True	retained	1
HCC1143	ACH-000374	PEX14	282	3	0.0044493142820248	True	0.0227993432195642	True	True	True	retained	1
HCC1143	ACH-000374	PFDN5	57	3	0.0102329499993855	True	0.9694975960688984	True	True	True	retained	1
HCC1143	ACH-000374	PMF1	40	3	0.0127756932567781	True	0.9510487581740272	True	True	True	retained	1
HCC1143	ACH-000374	PRDX2	186	3	0.0055213995831513	True	0.1660158727868937	True	True	True	retained	1
HCC1143	ACH-000374	PRPF6	23	3	0.0154111896961658	True	1.0	True	True	True	retained	1
HCC1143	ACH-000374	RORC	230	3	0.0045634026869297	True	0.0451125018855452	True	True	True	retained	1
HCC1143	ACH-000374	RPS3	72	3	0.007860948328555	True	1.0	True	True	True	retained	1
HCC1143	ACH-000374	RUVBL2	51	3	0.0119327730703482	True	1.0	True	True	True	retained	1
