evidence_type	cell_line	analysis	n_targets	estimate	interval_low	interval_high	interval_type	source_file	note	label
shift_metric_definition	HCC1143	alternative_real_DEG_burden	48	0.7135785375072098	0.5380464917763861	0.8294508240281689	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Threshold-based breadth
shift_metric_definition	HCC1143	alternative_real_shift_L2	48	0.7612248502417618	0.5950625772752184	0.8626936443510284	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	L2
shift_metric_definition	HCC1143	alternative_real_shift_top100_mean	48	0.7324502142936743	0.5615122415742879	0.8395836926109942	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Top 100
shift_metric_definition	HCC1143	alternative_real_shift_top20_mean	48	0.7044899548346837	0.5223266333095454	0.818937375705432	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Top 20
shift_metric_definition	HCC1143	alternative_real_shift_top50_mean	48	0.7276725388909729	0.5596723116849398	0.8350557041548535	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Top 50
shift_metric_definition	HCC1143	raw_observed_shift	48	0.7792497165337711	0.6241579278848234	0.8815112842415379	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Mean absolute
shift_metric_definition	HCC38	alternative_real_DEG_burden	47	0.5510637306326212	0.3072230003939364	0.746613479311831	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Threshold-based breadth
shift_metric_definition	HCC38	alternative_real_shift_L2	47	0.7019745023314382	0.5203313531719492	0.8199205265079686	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	L2
shift_metric_definition	HCC38	alternative_real_shift_top100_mean	47	0.6400508805542395	0.4383332166667537	0.7824149811982153	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Top 100
shift_metric_definition	HCC38	alternative_real_shift_top20_mean	47	0.6333439336577362	0.4232707011039382	0.7817462580836079	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Top 20
shift_metric_definition	HCC38	alternative_real_shift_top50_mean	47	0.6273886273617031	0.4184947208423303	0.7753891770582597	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Top 50
shift_metric_definition	HCC38	raw_observed_shift	47	0.7257957275155708	0.5526321122193196	0.8355684783264452	target_bootstrap_95pct	reports/revision/m1_bridge_confounding/bridge_inference_summary.tsv	dependency-probability endpoint	Mean absolute
