context	model	target_i	target_j	cosine
HCC1143	Observed	ARID1A	BMPR1A	-0.05652449372104222
HCC1143	Observed	ARID1A	CDKN2A	-0.1851889982028512
HCC1143	Observed	ARID1A	COMMD6	0.13915171496020093
HCC1143	Observed	ARID1A	ENY2	0.31029585964119405
HCC1143	Observed	ARID1A	ERC1	0.07190842506120748
HCC1143	Observed	ARID1A	ETV3	-0.08082049692570213
HCC1143	Observed	ARID1A	GON4L	0.13551403581692054
HCC1143	Observed	ARID1A	HDGF	0.1948658805711431
HCC1143	Observed	ARID1A	HLX	-0.1534671826645269
HCC1143	Observed	ARID1A	KLF3	0.18845917701067996
HCC1143	Observed	ARID1A	LAMTOR5	0.2866831243974778
HCC1143	Observed	ARID1A	MAML3	0.20967271875912577
HCC1143	Observed	ARID1A	MIER1	0.3421877444172842
HCC1143	Observed	ARID1A	MTDH	-4.727386744003418e-05
HCC1143	Observed	ARID1A	MYBL1	-0.13422466739205108
HCC1143	Observed	ARID1A	NCOA1	0.06083061332609832
HCC1143	Observed	ARID1A	NPM1	0.037820217594242256
HCC1143	Observed	ARID1A	PA2G4	-0.12653729491352725
HCC1143	Observed	ARID1A	PARK7	0.5514842033159227
HCC1143	Observed	ARID1A	PCBD1	-0.1737308836763965
HCC1143	Observed	ARID1A	PEX14	0.4562538729894485
HCC1143	Observed	ARID1A	PFDN5	0.027739006519015855
HCC1143	Observed	ARID1A	PMF1	0.1475301840832597
HCC1143	Observed	ARID1A	PRDX2	0.01532058859385836
HCC1143	Observed	ARID1A	PRPF6	-0.14239387393541647
HCC1143	Observed	ARID1A	RORC	0.10931479506428365
HCC1143	Observed	ARID1A	RPS3	-0.13007373187602173
HCC1143	Observed	ARID1A	RUVBL2	0.10734231365113057
HCC1143	Observed	ARID1A	SMAD1	0.3185791114353172
HCC1143	Observed	ARID1A	STAT3	-0.019318563151236725
HCC1143	Observed	ARID1A	TAB3	0.06672443531160012
HCC1143	Observed	ARID1A	TADA3	-0.25134580986879124
HCC1143	Observed	ARID1A	THAP8	0.13511926744623826
HCC1143	Observed	ARID1A	THRA	-0.23683036347153658
HCC1143	Observed	ARID1A	TMF1	0.2235985088881737
HCC1143	Observed	ARID1A	TMSB4X	0.12312253381460986
HCC1143	Observed	ARID1A	UBP1	0.21609607877268
HCC1143	Observed	ARID1A	VEZF1	0.07046889720045686
HCC1143	Observed	ARID1A	XBP1	0.0033448527045059086
HCC1143	Observed	ARID1A	YBX1	0.28438105778210454
HCC1143	Observed	ARID1A	ZBTB17	0.24324643617551653
HCC1143	Observed	ARID1A	ZBTB20	0.25420520945786884
HCC1143	Observed	ARID1A	ZBTB5	0.2375378587153379
HCC1143	Observed	ARID1A	ZNF131	0.011456891951666296
HCC1143	Observed	ARID1A	ZNF24	-0.05068071482161866
HCC1143	Observed	ARID1A	ZNF566	0.24401047296392278
HCC1143	Observed	BMPR1A	CDKN2A	0.06388260195016145
HCC1143	Observed	BMPR1A	COMMD6	0.22081622118384583
HCC1143	Observed	BMPR1A	ENY2	0.07956637083797446
HCC1143	Observed	BMPR1A	ERC1	0.17810579605369933
HCC1143	Observed	BMPR1A	ETV3	0.22238629455483347
HCC1143	Observed	BMPR1A	GON4L	0.0974458650183031
HCC1143	Observed	BMPR1A	HDGF	-0.20893044535450278
HCC1143	Observed	BMPR1A	HLX	0.2342260504501396
HCC1143	Observed	BMPR1A	KLF3	0.5104823329264041
HCC1143	Observed	BMPR1A	LAMTOR5	0.11867052632976526
HCC1143	Observed	BMPR1A	MAML3	0.09748066949740342
HCC1143	Observed	BMPR1A	MIER1	0.14511141137817496
HCC1143	Observed	BMPR1A	MTDH	0.2512174880139165
HCC1143	Observed	BMPR1A	MYBL1	0.5823617507002514
HCC1143	Observed	BMPR1A	NCOA1	0.3283955822337511
HCC1143	Observed	BMPR1A	NPM1	-0.2225882304001726
HCC1143	Observed	BMPR1A	PA2G4	-0.20412997716263384
