cell_line	entrant_id	entrant_kind	reference_type	reference_seed	target_gene	predicted_shift_mean_abs	predicted_shift_l2	observed_contract_shift_mean_abs	observed_contract_shift_l2	signed_cosine	signed_response_axis_projection	absolute_response_axis_projection	pearson	normalized_rmse	direction_status	pearson_status	normalized_rmse_status	context_role	depmap_gene_dependency	noise_corrected_shift	endpoint_category	corrected_shift_percentile	corrected_dependency_percentile	display_name	model_family	entrant_role
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	ARID1A	0.5086898676892544	4.214093253260249	0.0269341304967316	0.2688712784412625	-0.0925611032076924	-0.3900611205418622	0.3900611205418622	-0.3176279697074471	15.79724637743221	estimated	estimated	estimated	qualified_primary_context	0.2654515287532237	0.0025274853359367	endpoint_anchor	0.7916666666666666	0.7916666666666666	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	BMPR1A	0.708145926607416	5.997656157350572	0.0240331676555985	0.2519597961996969	-0.1622097904104851	-0.972878548237992	0.972878548237992	-0.0805808144532668	23.986535451597952	estimated	estimated	estimated	qualified_primary_context	0.307130270365165	0.0003716073858904	dependency_excess	0.1875	0.8125	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	CDKN2A	0.6090577263781365	4.899382425293568	0.015288635648501	0.154108703969004	-0.0911142711164765	-0.4464036586014985	0.4464036586014985	0.014385129203532	31.898393468262466	estimated	estimated	estimated	qualified_primary_context	6.198489826465077e-05	-5.524423694538636e-05	low_information	0.0416666666666666	0.0208333333333333	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	COMMD6	0.3880472763421688	3.428781854872264	0.0241791414462827	0.4004885692732569	0.0649845518668058	0.2228178522879094	0.2228178522879094	-0.0783975201977986	8.554911339339126	estimated	estimated	estimated	qualified_primary_context	0.1351756293730245	0.0005475981761952	middle	0.3958333333333333	0.625	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	ENY2	0.5316824025296151	4.563221841014567	0.0521335585637539	0.7227454677992012	0.1943812611519524	0.8870048163725458	0.8870048163725458	0.1132146270801922	6.197473715149774	estimated	estimated	estimated	qualified_primary_context	0.148881151602389	0.0052970777139176	middle	0.9791666666666666	0.6875	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	ERC1	0.5614489415224563	4.603892793728535	0.0180828595245295	0.1565373306756347	0.0604074124340264	0.278109250792802	0.278109250792802	0.0655985591228648	29.36739087369632	estimated	estimated	estimated	qualified_primary_context	0.0303840215886299	0.0011727642485481	middle	0.625	0.4583333333333333	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	ETV3	0.4985485974144428	4.478009549088815	0.0175173141097048	0.1740043215464302	-0.1315200808132775	-0.5889481777787893	0.5889481777787893	0.0390133172613414	25.885556616801427	estimated	estimated	estimated	qualified_primary_context	0.1444988533493548	0.0004824127798667	middle	0.3541666666666667	0.6666666666666666	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	GON4L	0.4788015378599471	3.884942883128144	0.0261287892924314	0.2570710799620001	0.1695445364730999	0.6586708403444295	0.6586708403444295	0.0823321749260309	14.97524888568422	estimated	estimated	estimated	qualified_primary_context	0.1493363288328347	0.001639764285359	middle	0.7083333333333334	0.7083333333333334	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	HDGF	0.345558280323414	2.981587067419555	0.0218424097035099	0.4296275389638782	0.4527851827477257	1.350018445199819	1.350018445199819	0.4911049385557725	6.548136718827921	estimated	estimated	estimated	qualified_primary_context	0.0196252078195258	-2.232035737835883e-06	middle	0.0833333333333333	0.3125	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	HLX	0.4229773024612285	3.5420305832615258	0.0156087695123795	0.1523967550181248	-0.227647597366591	-0.8063347520784715	0.8063347520784715	0.073952610220265	23.490004207928365	estimated	estimated	estimated	qualified_primary_context	0.0236239287972883	0.0003806089003583	middle	0.2083333333333333	0.375	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	KLF3	0.4812005641771124	4.601325102371906	0.0201118590349126	0.2031140736176738	-0.3056094843775553	-1.40620859198938	1.40620859198938	-0.3316113129455062	22.9792405334812	estimated	estimated	estimated	qualified_primary_context	0.0369385703770605	0.0008195901120722	middle	0.5625	0.4791666666666667	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	LAMTOR5	0.4510559165414343	4.022995293024756	0.0423132662042345	0.5526408290413126	0.1882361968768854	0.7572733340125916	0.7572733340125916	0.0642854865972134	7.15903482843169	estimated	estimated	estimated	qualified_primary_context	0.1226400958971878	0.0051478700974567	middle	0.9583333333333334	0.5833333333333334	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	MAML3	0.5404221523315349	4.500017944115779	0.0157225639961825	0.1343661644316768	0.3335158657366184	1.500827380462092	1.500827380462092	0.385487624716571	33.17059150275249	estimated	estimated	estimated	qualified_primary_context	0.0050198572939971	0.0003873163964322	low_information	0.25	0.0625	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	MIER1	0.4783747814437176	3.97519354607452	0.0298149725095367	0.3324632857261191	0.1033869073244665	0.4109829667448239	0.4109829667448239	-0.1027998590535118	11.895060561099832	estimated	estimated	estimated	qualified_primary_context	0.0105919574277721	0.001451416208981	middle	0.6458333333333334	0.2083333333333333	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	MTDH	0.4772165463642871	3.891590811967836	0.0327966048832914	0.743097496021889	0.1833934772633985	0.7136923710930738	0.7136923710930738	0.1195281474930396	5.148316148770114	estimated	estimated	estimated	qualified_primary_context	0.0123435627679496	0.0006004795018292	middle	0.4375	0.2708333333333333	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	MYBL1	0.5246362305702047	4.353623713718497	0.0421253128752774	0.4452787693883616	0.027913657204228	0.1215255599409364	0.1215255599409364	-0.0492156455614496	9.800496796115256	estimated	estimated	estimated	qualified_primary_context	0.0210310036855235	0.002892924147223	middle	0.8541666666666666	0.3333333333333333	CellOT	CellOT	formal
HCC1143	cellot_hcc_seed123_retrain_v1	formal	NA	NA	NCOA1	0.4315541874855123	3.7926179396509	0.0133328366202502	0.1239829187041819	0.1033191089684757	0.3918499061825872	0.3918499061825872	0.1902505109449024	30.50274455957269	estimated	estimated	estimated	qualified_primary_context	0.0248991192692647	-3.731790556072735e-05	middle	0.0625	0.3958333333333333	CellOT	CellOT	formal
