cell_line	depmap_model_id	target_gene	n_cells_target	n_cells_control	n_sgrnas_observed	truth_source_cell_count	gene_universe_size	source_kind	dataset_role	control_target_prefix	single_perturbation_filter_status	single_perturbation_evidence_source	real_shift_L2	real_shift_mean_abs	real_shift_top20_mean	real_shift_top50_mean	real_shift_top100_mean	real_shift_top50_concentration	real_Edistance	real_DEG_burden	depmap_gene_effect	depmap_gene_dependency	depmap_effect_found	depmap_dependency_found	depmap_join_status	context	panel	dataset_id	depmap_id_source	normalization	min_target_cells	evidence_layer	claim_role	source_path	source_sha256	n_targets_total	n_targets_matched_depmap	dependency_strength_variable	shift_metric	spearman_rho	spearman_permutation_pvalue	spearman_bootstrap_ci_low	spearman_bootstrap_ci_high	pearson_r	pearson_permutation_pvalue	pearson_bootstrap_ci_low	pearson_bootstrap_ci_high	n_permutations	n_bootstrap	status	supported_claim
dixit_2016_k562_tf_7d_gse90063	ACH-000551	CREB1	2713.0	5381.0	3.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.7965809122221064	0.0026383122258462	0.0456760324850507	0.0388517436514129	0.0337743316095072	0.0318592531912962	0.014333219063511	0.0	0.1309068989504612	0.0071578592789096	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	E2F4	1696.0	5381.0	2.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.9831000155331484	0.0031633745164676	0.0590298931231295	0.0493383977696763	0.0427293947490419	0.0337431557889155	0.0333101833712046	0.0	-0.1444957567793325	0.0737611734867184	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	EGR1	2275.0	5381.0	3.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.8523508117943334	0.0028422518033918	0.045150829131182	0.0385164481854174	0.0337925585769189	0.029318040987527	0.0215634865203373	0.0	-0.1784621064355158	0.0951212499906231	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	ELF1	4220.0	5381.0	4.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.6979595530052319	0.0023201360490387	0.0380246993616694	0.0323955901903727	0.0285539004595628	0.0302081209324617	0.0099688072843164	0.0	0.0044643707675075	0.0214694821905055	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	ELK1	2733.0	5381.0	3.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.7214947313107509	0.0024652698331102	0.0376133927272306	0.0314657998390776	0.0276579279224216	0.0276137622340293	0.0099347209928204	0.0	0.0750545005118522	0.0115968945203785	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	ETS1	1784.0	5381.0	2.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.8160966903995082	0.0028045103468223	0.0370529293198451	0.0329525415202991	0.0300117709571713	0.0254204442511737	0.0129949529639503	0.0	0.0870167445612608	0.0104489076569362	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	GABPA	2020.0	5381.0	2.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.044055971320551	0.0032335956895071	0.0740346553523304	0.0596667004166902	0.0494825301086023	0.0399206470088365	0.037805224261314	0.0	-0.3663464919493407	0.3039556555377878	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	IRF1	1402.0	5381.0	2.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.9722017203308428	0.0032418031709357	0.0491419306681702	0.0442131537651092	0.0398260809903926	0.0295063927375617	0.0268728621487976	0.0	-0.0270804670754626	0.0282070976172631	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	NR2C2	1816.0	5381.0	3.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	0.894703221933017	0.0029624276925827	0.0580056964017166	0.0459834588909446	0.0384762698805329	0.0335818907084767	0.0183437704383315	0.0	-0.1029273643150633	0.0531572523792977	True	True	both	K562 TF day 7	a																								
dixit_2016_k562_tf_7d_gse90063	ACH-000551	YY1	1994.0	5381.0	2.0	28034.0	23111.0	h5ad_obs	supplementary	intergenic_chr_	verified_single_perturbation	is_single_perturbation	1.9423491668248984	0.0053201925384121	0.144949406049902	0.1233628888824622	0.1031616015391655	0.0501658815125695	0.2614719012794424	1.0	-0.6261517971182733	0.7276949214878715	True	True	both	K562 TF day 7	a																								
