group	metric	passed	max_abs_difference	absolute_tolerance
m5	reference_seed	True	0.0	1e-06
m5	full_endpoint_n_targets	True	0.0	1e-12
m5	contract_n_targets	True	0.0	1e-12
m5	endpoint_coverage_fraction	True	0.0	1e-06
m5	missing_endpoint_targets	True	0.0	1e-06
m5	contract_n_genes	True	0.0	1e-12
m5	endpoint_alignment_spearman	True	5.551115123125783e-17	1e-06
m5	endpoint_alignment_ci_low	True	5.551115123125783e-17	1e-06
m5	endpoint_alignment_ci_high	True	5.551115123125783e-17	1e-06
m5	endpoint_alignment_status	True	0.0	0.0
m5	endpoint_alignment_n	True	0.0	1e-12
m5	directional_recovery_median_signed_cosine	True	1.8230605358660057e-09	1e-06
m5	directional_recovery_ci_low	True	1.98422825392619e-09	1e-06
m5	directional_recovery_ci_high	True	1.323420623089433e-09	1e-06
m5	directional_recovery_n	True	0.0	1e-12
m5	anchor_separation_auc	True	1.1102230246251565e-16	1e-06
m5	anchor_separation_ci_low	True	5.551115123125783e-17	1e-06
m5	anchor_separation_ci_high	True	0.0	1e-06
m5	anchor_n	True	0.0	1e-12
m5	low_information_n	True	0.0	1e-12
m5	target_identity_spearman	True	3.0861617775213013e-10	1e-06
m5	target_identity_label_permutation_pvalue	True	0.0	1e-12
m5	target_identity_status	True	0.0	0.0
m5	target_identity_n_targets	True	0.0	1e-12
m5	target_identity_n_pairs	True	0.0	1e-06
m5	predicted_homogenization_uncentered	True	1.806743643584241e-11	1e-06
m5	observed_homogenization_uncentered	True	3.359590383666955e-12	1e-06
m5	excess_homogenization_uncentered	True	2.1426971308358134e-11	1e-06
m5	predicted_homogenization_uncentered_n	True	0.0	1e-12
m5	observed_homogenization_uncentered_n	True	0.0	1e-12
m5	predicted_homogenization_centered	True	2.331618231821153e-11	1e-06
m5	observed_homogenization_centered	True	3.0603731354661434e-12	1e-06
m5	excess_homogenization_centered	True	2.637666474125666e-11	1e-06
m5	predicted_homogenization_centered_n	True	0.0	1e-12
m5	observed_homogenization_centered_n	True	0.0	1e-12
m5	conventional_pearson_median	True	6.643080252555222e-10	1e-06
m5	conventional_pearson_ci_low	True	2.1362347168984996e-09	1e-06
m5	conventional_pearson_ci_high	True	4.074550544186373e-09	1e-06
m5	conventional_pearson_n	True	0.0	1e-12
m5	conventional_normalized_rmse_median	True	6.296860810550697e-10	1e-06
m5	conventional_normalized_rmse_ci_low	True	1.19853460489594e-09	1e-06
m5	conventional_normalized_rmse_ci_high	True	5.807108127697802e-10	1e-06
m5	conventional_normalized_rmse_n	True	0.0	1e-12
m5	secondary_absolute_projection_median	True	5.035940109365811e-09	1e-06
m5	secondary_absolute_projection_ci_low	True	5.874700281793821e-09	1e-06
m5	secondary_absolute_projection_ci_high	True	6.084249104532091e-09	1e-06
m5	secondary_absolute_projection_n	True	0.0	1e-12
m5	endpoint_alignment_label_permutation_pvalue	True	1.3877787807814457e-17	1e-12
m5	endpoint_alignment_permutation_qvalue_bh	True	5.000882520589389e-17	1e-12
m5	target_identity_permutation_qvalue_bh	True	0.0	1e-12
