context	profile	umap1	umap2	is_control	is_highlight
K562 7d	control	38.527374267578125	15.182329177856444	True	False
K562 7d	CREB1	38.833126068115234	15.968850135803224	False	False
K562 7d	E2F4	38.062461853027344	17.720003128051758	False	False
K562 7d	EGR1	40.55795669555664	15.97243309020996	False	False
K562 7d	ELF1	39.38759994506836	17.952911376953125	False	False
K562 7d	ELK1	39.79161071777344	16.590059280395508	False	False
K562 7d	ETS1	40.64326095581055	17.16521644592285	False	False
K562 7d	GABPA	39.10269165039063	17.17169761657715	False	False
K562 7d	IRF1	39.652374267578125	15.167753219604492	False	True
K562 7d	NR2C2	37.69041061401367	15.874521255493164	False	False
K562 7d	YY1	37.74470138549805	16.68938636779785	False	True
