cell_line	entrant_id	training_seed	metric	estimate	ci_low	ci_high	jackknife_se	status
HCC38	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_uncentered	0.2981522344414353	0.2345690449783267	0.361735423904544	0.0315879221442193	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_uncentered	0.0573125562535605	0.0255548804635405	0.0890702320435805	0.0157771102520509	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_uncentered	0.2408396781878747	0.1765973466391283	0.3050820097366212	0.0319153817928924	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_centered	0.0774813091870066	0.0244124283880536	0.1305501899859597	0.0263644477276624	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_centered	0.0221499268077361	-0.0060058151622282	0.0503056687777005	0.0139876812215591	target_delete_one_jackknife
HCC38	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_centered	0.0553313823792705	-0.0078105239027933	0.1184732886613344	0.0313686940922122	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_uncentered	0.1953815876201759	0.1571155731380868	0.2336476021022649	0.019010431789225	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_uncentered	0.0605282495699902	0.0213316117246775	0.0997248874153028	0.0194727624554171	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_uncentered	0.1348533380501856	0.0756044340929348	0.1941022420074365	0.0294346631733196	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	predicted_homogenization_centered	0.0143804937019241	-0.0082024800931128	0.036963467496961	0.011219148080586	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	observed_homogenization_centered	0.0361300359567065	0.000622963322723	0.0716371085906899	0.0176397984341783	target_delete_one_jackknife
HCC1143	cellot_hcc_seed124_sensitivity_v1	124	excess_homogenization_centered	-0.0217495422547824	-0.0622270679296981	0.0187279834201333	0.0201091033716031	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_uncentered	0.2752955827829128	0.2246868622165987	0.3259043033492269	0.0251422481093813	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_uncentered	0.0573125562535605	0.0255548804635405	0.0890702320435805	0.0157771102520509	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_uncentered	0.2179830265293522	0.1601412530197858	0.2758248000389187	0.0287356053342345	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_centered	0.0275496247470748	-0.0050661535311953	0.060165403025345	0.0162034127829476	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_centered	0.0221499268077361	-0.0060058151622282	0.0503056687777005	0.0139876812215591	target_delete_one_jackknife
HCC38	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_centered	0.0053996979393387	-0.0352354770114618	0.0460348728901392	0.0201874230201578	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	predicted_homogenization_uncentered	0.2538422200391049	0.2089647358212485	0.2987197042569613	0.0222949884941612	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	observed_homogenization_uncentered	0.0605282495699902	0.0213316117246775	0.0997248874153028	0.0194727624554171	target_delete_one_jackknife
HCC1143	cellot_hcc_seed125_sensitivity_v1	125	excess_homogenization_uncentered	0.1933139704691147	0.1369447041212512	0.2496832368169782	0.0280040685558276	target_delete_one_jackknife
