model_id	object_role	cell_line	n_targets	total_shift_depmap_spearman	total_shift_depmap_pvalue	total_shift_depmap_status	predicted_shift_mean_abs_n_unique	dependency_strength_n_unique	axis_aligned_depmap_spearman	axis_aligned_depmap_pvalue	axis_aligned_depmap_status	axis_aligned_magnitude_n_unique	axis_aligned_endpoint_permutation_pvalue	axis_aligned_endpoint_permutation_zscore	predicted_vs_observed_shift_spearman	predicted_vs_observed_shift_pvalue	predicted_vs_observed_shift_status	observed_shift_mean_abs_n_unique	anchor_vs_low_information_axis_auc	q1_anchor_count	low_information_count	mean_top_axis_share	mean_axis_entropy	mean_stress_axis_share	mean_target_axis_cosine_proxy	total_shift_depmap_qvalue	axis_aligned_depmap_qvalue	axis_aligned_endpoint_permutation_qvalue	target_identity_preservation_spearman	target_identity_preservation_pvalue	target_identity_label_permutation_pvalue	target_identity_label_permutation_zscore	target_identity_preservation_status	target_identity_n_pairs	predicted_target_similarity_mean	observed_target_similarity_mean	target_identity_label_permutation_qvalue	endpoint_recovery_score	common_response_score	common_response_quadrant
gears_hcc_formal_v1	entrant	HCC1143	47	0.0158418131359852	0.9158298597897396	estimated	47	47	0.0860314523589269	0.5652996105866848	estimated	47	0.2577422577422577	0.6308542779548804	-0.0558510638297872	0.7092404276698757	estimated	47	0.5594405594405595	13	11	0.1240927683255225	0.908853018283206	0.1000376672244845	0.8951722923241306	0.971078286353992	0.706624513233356	0.3608891108891108	0.0034259390670155	0.9104190654212224	0.4325674325674326	0.1415934247752366	estimated	1081	0.4724202434574844	0.0605282495699902	0.6055944055944056	0.6308542779548804	0.1065350359555124	low_recovery/low_common
gears_hcc_formal_v1	entrant	HCC38	47	0.2273358001850139	0.1243501393594644	estimated	47	47	0.2046716003700277	0.1675763276334002	estimated	47	0.0879120879120879	1.3672536929012795	0.049491211840888	0.7411273599620365	estimated	47	0.7520661157024794	11	11	0.1475447730062259	0.8962223704017135	0.0835094002854025	0.9296548583009722	0.3986171424464242	0.4025520832136204	0.2247752247752247	0.0957375941622403	0.0016253773209933	0.0359640359640359	1.9311724207648389	estimated	1081	0.5460301042813953	0.0573125562535606	0.2237762237762237	1.3672536929012795	0.3218258701853763	high_recovery/low_common
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC1143	47	-0.2291859389454209	0.121233360062147	estimated	47	47	0.075277520814061	0.615038450353651	estimated	47	0.2887112887112887	0.5493274545802985	-0.2615633672525439	0.0757389469610815	estimated	47	0.4895104895104895	13	11	0.1113892663851426	0.9181308997044744	0.0830625690272641	0.9305959190636376	0.3459829576556604	0.7096597504080588	0.3608891108891108	0.0632262787341007	0.0376666428831592	0.0839160839160839	1.461342756209563	estimated	1081	0.5608439204019287	0.0605282495699902	0.3916083916083916	0.5493274545802985	0.1449922281442987	low_recovery/low_common
gears_hcc_formal_v1_e20_lr1e-03_wd1e-06	entrant	HCC38	47	0.1195652173913043	0.4234194199093813	estimated	47	47	0.0884597594819611	0.554332594653234	estimated	47	0.2657342657342657	0.5801109996819873	0.1958834412580943	0.1869774704203973	estimated	47	0.628099173553719	11	11	0.1503240631485726	0.9019313059334272	0.083009868139477	0.9336356310905876	0.5927871878731339	0.6619874503686194	0.3321678321678321	0.052526813047639	0.0843114613501531	0.1488511488511488	1.0489699766820388	estimated	1081	0.6182453610071568	0.0573125562535606	0.3473193473193474	0.5801109996819873	0.339077516584952	low_recovery/low_common
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC1143	47	0.0568917668825161	0.7040674447966342	estimated	47	47	0.094472710453284	0.5276174525574285	estimated	47	0.2757242757242757	0.6187361160599738	-0.0095975948196114	0.948948377427092	estimated	47	0.5944055944055944	13	11	0.1223953683524476	0.9134563582713088	0.1091571012565679	0.9109621949734708	0.9293728162671568	0.706624513233356	0.3608891108891108	0.0374886408737792	0.2181061678699387	0.1468531468531468	1.0401000191971943	estimated	1081	0.3929365713742335	0.0605282495699902	0.513986013986014	0.6187361160599738	0.1656279901845046	low_recovery/low_common
gears_hcc_formal_v1_e30_lr1e-03_wd1e-05	entrant	HCC38	47	0.1274283071230342	0.3933445199855087	estimated	47	47	0.1705596669750231	0.2516981255277919	estimated	47	0.1558441558441558	1.0958920807196828	-0.0283302497687326	0.8500690614294806	estimated	47	0.6694214876033058	11	11	0.1635213057673427	0.8764927971374852	0.0984713473943082	0.9672754806151588	0.5927871878731339	0.4025520832136204	0.2337662337662337	-0.0415299439201624	0.1724247678912987	0.7652347652347652	-0.7703723837694278	estimated	1081	0.8195872415007046	0.0573125562535606	0.8423883808499194	1.0958920807196828	0.5188067113229822	low_recovery/high_common
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC1143	47	0.4927150786308972	0.0004342321778229	estimated	47	47	0.1957678075855689	0.1872429963522215	estimated	47	0.0789210789210789	1.4176800562405845	0.3058510638297872	0.0365514684698264	estimated	47	0.5944055944055944	13	11	0.1424783040589142	0.889068886367344	0.1167486285801652	0.932085031380762	0.0030396252447603	0.4688820004203888	0.2584915084915085	0.1080833470602305	0.0003709293591934	0.0149850149850149	2.52446058145892	estimated	1081	0.4643565027679994	0.0605282495699902	0.1048951048951049	1.4176800562405845	0.2987954814104352	high_recovery/low_common
gears_hcc_formal_v1_e30_lr2e-03_wd1e-06	entrant	HCC38	47	0.1376040703052728	0.356340108919035	estimated	47	47	0.2208603145235892	0.1357353681064436	estimated	47	0.0809190809190809	1.4573236370680276	0.1830481036077706	0.2181134239942068	estimated	47	0.6859504132231405	11	11	0.1426414537599799	0.9116326374574236	0.120397980235844	0.9270389877073802	0.5927871878731339	0.4025520832136204	0.2247752247752247	-0.0400209256811533	0.1885653611006789	0.7822177822177823	-0.8255730486520597	estimated	1081	0.7119459604433226	0.0573125562535606	0.8423883808499194	1.4573236370680276	0.4010322335752296	high_recovery/high_common
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC1143	47	0.2277983348751156	0.1235653420198787	estimated	47	47	0.1267345050878816	0.3959467360277486	estimated	47	0.2087912087912088	0.8627817884676641	0.1466234967622571	0.3253807089026174	estimated	47	0.4615384615384615	13	11	0.1499963305647873	0.8891507671125951	0.1395152442519359	0.906949264095796	0.3459829576556604	0.593920104041623	0.3479853479853479	-0.008688679480084	0.7753789315845937	0.5654345654345654	-0.2002880481436093	estimated	1081	0.3295028559342168	0.0605282495699902	0.719643992371265	0.8627817884676641	0.287131891462135	low_recovery/low_common
gears_hcc_formal_v1_e30_lr5e-04_wd1e-06	entrant	HCC38	47	0.2511563367252544	0.0885883622041651	estimated	47	47	0.291049953746531	0.047165747902719	estimated	47	0.0269730269730269	1.9491623961271196	0.1244218316373728	0.4046930421610909	estimated	47	0.71900826446281	11	11	0.1260066823169737	0.9042236911183378	0.1046763184106925	0.9212922727194258	0.3986171424464242	0.2358287395135951	0.1348651348651348	0.0154454572899703	0.6119673549033471	0.3256743256743257	0.4063443272753669	estimated	1081	0.4443415055183273	0.0573125562535606	0.56993006993007	1.9491623961271196	0.3113900489545178	high_recovery/low_common
