model_id	cell_line	predicted_target_similarity_mean	leading_singular_energy_share	normalized_inverse_effective_rank	fill_scale
scgen_hcc_formal_v1	HCC38	0.7937453571091759	0.6996044653052507	0.9339754343372548	within metric; raw values are provided in source data
scgen_hcc_formal_v1	HCC1143	0.7789692471597667	0.6724040385366731	0.9290929279411712	within metric; raw values are provided in source data
cpa_v0.8.8	HCC38	0.9943975900943732	0.9946940301777658	0.9991762009254318	within metric; raw values are provided in source data
cpa_v0.8.8	HCC1143	0.938743860910642	0.9360535281954157	0.9940320568743726	within metric; raw values are provided in source data
gears_hcc_formal_v1	HCC38	0.5460301042813954	0.5911442343083585	0.9192966656323605	within metric; raw values are provided in source data
gears_hcc_formal_v1	HCC1143	0.4724202434574844	0.4633218220875185	0.9089168539819809	within metric; raw values are provided in source data
cellot_hcc_formal_v1	HCC38	0.3270921291540744	0.5147364477758587	0.912901547177661	within metric; raw values are provided in source data
cellot_hcc_formal_v1	HCC1143	0.3089680808051099	0.3710272040613464	0.8859481396662818	within metric; raw values are provided in source data
scgpt_hcc_formal_v1	HCC38	0.2021883619648669	0.3873448601279407	0.8417126966049429	within metric; raw values are provided in source data
scgpt_hcc_formal_v1	HCC1143	0.2535636536365697	0.5347064052009594	0.8972329853089304	within metric; raw values are provided in source data
geneformer_hcc_formal_v1	HCC38	0.5146872998631231	0.4958729301463226	0.8849605062914734	within metric; raw values are provided in source data
geneformer_hcc_formal_v1	HCC1143	0.477756564362139	0.5612693666614963	0.9096461889258124	within metric; raw values are provided in source data
lm_train_lowrank_hcc_formal_v1	HCC38	0.0175076917214645	0.2401695752391728	0.7897532732253745	within metric; raw values are provided in source data
lm_train_lowrank_hcc_formal_v1	HCC1143	0.0325874415324252	0.2308505741893365	0.7992639788908227	within metric; raw values are provided in source data
lm_g_scgpt_ridge_hcc_formal_v1	HCC38	0.0072176059978728	0.2601626665350631	0.7865301100628858	within metric; raw values are provided in source data
lm_g_scgpt_ridge_hcc_formal_v1	HCC1143	0.0272587066867515	0.2586204237792127	0.7947119401696103	within metric; raw values are provided in source data
lm_g_geneformer_ridge_hcc_formal_v1	HCC38	0.0240288470057757	0.4315427665344917	0.8421662116621106	within metric; raw values are provided in source data
lm_g_geneformer_ridge_hcc_formal_v1	HCC1143	0.0367955238109856	0.270315989435718	0.8192260127687655	within metric; raw values are provided in source data
shared_mean_baseline	HCC38	1.0000000000000002	1.0	1.0	within metric; raw values are provided in source data
shared_mean_baseline	HCC1143	1.0	1.0	1.0	within metric; raw values are provided in source data
